TZ id,1 bed,2 bed,3 bed,4 bed
270,456,522,251,73
276,212,306,97,35
277,128,120,26,10
278,422,294,87,35
279,55,88,9,3
283,40,37,2,0
284,87,102,61,47
285,274,456,160,52
287,91,124,55,34
288,24,55,27,9
292,166,281,245,130
294,136,239,212,175
507,56,73,68,79
508,307,427,289,252
509,720,736,381,153
510,188,212,106,52
511,405,371,200,110
512,529,582,255,177
513,317,348,228,149
514,148,128,62,27
515,589,578,223,122
516,746,719,309,144
517,350,414,227,154
518,474,600,303,201
519,141,167,110,87
520,53,61,56,62
521,460,520,249,101
522,242,369,188,83
523,449,554,262,131
524,95,131,148,162
525,407,516,424,236
526,465,658,433,197
527,63,60,59,63
528,547,657,382,238
529,715,665,278,123
530,192,299,240,145
531,978,925,342,140
532,358,317,334,251
533,68,84,96,97
534,55,79,77,63
535,131,164,145,119
536,699,500,273,272
537,377,598,325,165
538,164,311,220,177
539,155,144,159,157
540,386,461,402,302
541,228,281,254,167
542,187,244,227,144
543,430,429,246,198
544,202,167,121,95
545,601,449,238,112
546,368,431,175,90
547,384,399,218,124
548,324,196,179,189
549,126,156,148,136
550,166,198,153,154
551,155,244,246,259
552,56,93,88,89
553,40,61,45,55
554,301,402,375,371
555,408,294,249,187
556,33,47,54,50
557,229,153,143,141
558,57,92,99,103
