TZ id,1 bed,2 bed,3 bed,4 bed
270,447,512,246,72
276,208,300,95,34
277,125,118,25,10
278,413,288,85,34
279,53,86,9,3
283,39,36,2,0
284,85,100,60,46
285,269,447,157,51
287,89,122,54,33
288,23,53,27,9
292,163,276,240,127
294,134,235,208,171
507,55,72,66,77
508,301,418,283,247
509,706,722,373,150
510,185,208,104,51
511,397,363,196,108
512,519,570,250,173
513,311,342,223,146
514,145,125,61,27
515,577,566,219,119
516,732,705,303,141
517,343,406,222,151
518,464,588,297,197
519,139,164,108,85
520,52,60,55,61
521,451,509,244,99
522,237,362,185,82
523,440,543,256,128
524,94,129,145,159
525,399,506,415,231
526,456,645,424,193
527,62,58,57,62
528,536,644,375,233
529,701,651,273,120
530,188,293,235,143
531,959,907,335,137
532,351,311,327,246
533,67,83,94,95
534,53,78,75,62
535,129,160,143,117
536,685,490,267,266
537,369,586,318,161
538,160,305,215,173
539,152,141,156,154
540,378,452,394,296
541,224,276,249,164
542,184,239,222,141
543,422,421,241,194
544,198,164,118,93
545,589,440,233,109
546,361,423,171,88
547,377,391,213,122
548,317,192,176,186
549,124,153,145,134
550,163,194,150,151
551,152,239,241,254
552,55,91,86,87
553,39,60,44,54
554,295,394,368,364
555,400,288,244,183
556,33,46,53,49
557,225,149,140,138
558,56,90,97,101
