TZ id,1 bed,2 bed,3 bed,4 bed
270,445,509,245,71
276,207,299,95,34
277,125,117,25,10
278,411,287,85,34
279,53,86,9,3
283,39,36,2,0
284,85,99,59,46
285,267,445,156,51
287,88,121,54,33
288,23,53,26,9
292,162,275,239,126
294,133,233,207,170
507,54,71,66,77
508,300,416,281,246
509,703,718,372,150
510,184,207,103,51
511,395,362,195,108
512,516,567,248,173
513,310,340,222,145
514,144,125,60,26
515,574,564,218,119
516,728,701,301,141
517,341,404,221,151
518,462,585,296,196
519,138,163,108,85
520,52,59,55,60
521,449,507,243,99
522,236,360,184,81
523,438,541,255,128
524,93,128,144,158
525,397,503,413,230
526,454,642,422,192
527,62,58,57,62
528,533,641,373,232
529,698,648,272,120
530,187,291,234,142
531,954,902,333,136
532,349,310,325,245
533,67,82,93,95
534,53,77,75,62
535,128,160,142,117
536,682,487,266,265
537,368,583,317,161
538,160,304,214,173
539,151,140,155,153
540,376,450,392,295
541,223,275,247,163
542,183,238,221,141
543,420,418,240,193
544,197,163,118,92
545,587,438,232,109
546,359,421,170,88
547,375,389,212,121
548,316,191,175,185
549,123,152,144,133
550,162,193,150,151
551,151,238,240,253
552,54,91,86,87
553,39,59,44,54
554,294,392,366,362
555,398,287,243,183
556,33,46,53,48
557,224,149,140,137
558,56,89,97,100
