TZ id,1 bed,2 bed,3 bed,4 bed
270,409,468,225,66
276,190,274,87,31
277,114,108,23,9
278,378,263,78,31
279,49,79,8,3
283,36,33,2,0
284,78,91,55,42
285,246,409,143,46
287,81,111,49,30
288,21,49,24,8
292,149,252,219,116
294,122,214,190,157
507,50,66,61,71
508,276,382,259,226
509,646,660,341,137
510,169,190,95,46
511,363,332,179,99
512,474,521,228,159
513,284,312,204,133
514,132,114,56,24
515,528,518,200,109
516,669,644,277,129
517,313,371,203,138
518,424,538,272,180
519,127,150,99,78
520,48,54,51,56
521,412,466,223,91
522,217,331,169,75
523,402,497,234,117
524,86,118,132,145
525,364,462,380,211
526,417,590,388,177
527,57,53,53,57
528,490,589,342,213
529,641,596,249,110
530,172,268,215,130
531,877,829,306,125
532,321,284,299,225
533,61,76,86,87
534,49,71,69,57
535,118,147,130,107
536,627,448,244,243
537,338,536,291,147
538,147,279,197,159
539,139,129,142,140
540,346,413,361,271
541,204,252,227,149
542,168,219,203,129
543,386,384,220,178
544,181,150,108,85
545,539,402,213,100
546,330,387,157,81
547,344,358,195,111
548,290,176,161,170
549,113,140,132,122
550,149,178,137,138
551,139,219,220,232
552,50,83,79,80
553,36,54,40,49
554,270,360,336,332
555,366,263,223,168
556,30,42,48,44
557,206,137,128,126
558,51,82,89,92
