TZ id,1 bed,2 bed,3 bed,4 bed
270,423,484,233,68
276,197,284,90,32
277,119,112,24,9
278,391,273,81,32
279,51,82,8,3
283,37,35,2,0
284,81,94,56,44
285,254,423,149,48
287,84,115,51,31
288,22,51,25,8
292,154,261,227,120
294,127,222,197,162
507,52,68,63,73
508,285,396,268,234
509,668,683,354,142
510,175,197,98,48
511,376,344,185,102
512,491,540,236,164
513,295,323,211,138
514,137,119,58,25
515,546,536,207,113
516,693,667,287,134
517,324,384,210,143
518,439,557,281,186
519,131,155,102,81
520,49,56,52,58
521,427,482,231,94
522,224,343,175,77
523,416,514,243,121
524,89,122,137,151
525,377,479,393,219
526,431,611,402,183
527,59,55,54,59
528,507,610,355,221
529,664,617,258,114
530,178,277,223,135
531,908,858,317,130
532,332,295,310,233
533,63,78,89,90
534,51,74,71,59
535,122,152,135,111
536,649,464,253,252
537,350,555,301,153
538,152,289,204,164
539,144,133,147,145
540,358,428,373,280
541,212,261,235,155
542,174,227,210,134
543,399,398,228,184
544,188,155,112,88
545,558,416,221,104
546,342,400,162,84
547,357,370,202,115
548,300,182,166,176
549,117,145,137,127
550,154,184,142,143
551,144,227,228,241
552,52,86,82,83
553,37,56,42,51
554,280,373,348,344
555,379,273,231,174
556,31,44,50,46
557,213,142,133,131
558,53,85,92,95
