TZ id,1 bed,2 bed,3 bed,4 bed
270,463,530,255,74
276,215,311,98,35
277,130,122,26,10
278,428,298,88,35
279,55,89,9,3
283,40,38,2,0
284,88,103,62,48
285,278,463,162,53
287,92,126,56,34
288,24,55,27,9
292,169,286,248,132
294,138,243,215,177
507,57,74,69,80
508,312,433,293,256
509,731,748,387,156
510,191,215,108,53
511,412,376,203,112
512,537,590,259,180
513,322,354,231,151
514,150,130,63,27
515,598,586,227,124
516,758,730,313,146
517,355,420,230,157
518,481,609,308,204
519,143,170,112,88
520,54,62,57,63
521,467,527,253,103
522,245,375,191,85
523,456,563,265,133
524,97,133,150,165
525,413,524,430,239
526,472,668,439,200
527,64,60,59,64
528,555,667,388,241
529,726,675,283,125
530,195,303,244,148
531,993,939,347,142
532,364,322,339,255
533,69,86,97,98
534,55,81,78,64
535,133,166,148,121
536,710,507,277,276
537,383,607,330,167
538,166,316,223,180
539,157,146,161,159
540,391,468,408,307
541,232,286,257,169
542,190,248,230,146
543,437,435,249,201
544,205,170,122,96
545,610,456,241,113
546,374,438,177,92
547,390,405,221,126
548,328,199,182,192
549,128,159,150,138
550,169,201,156,157
551,157,248,249,263
552,57,94,89,90
553,40,62,46,56
554,306,408,381,376
555,414,298,253,190
556,34,48,55,50
557,233,155,145,143
558,58,93,101,104
