TZ id,1 bed,2 bed,3 bed,4 bed
270,407,465,224,65
276,189,273,86,31
277,114,107,23,9
278,376,262,77,31
279,49,78,8,3
283,35,33,2,0
284,77,91,54,42
285,244,407,143,46
287,81,111,49,30
288,21,49,24,8
292,148,251,218,116
294,122,213,189,156
507,50,65,60,70
508,274,380,257,225
509,642,657,340,137
510,168,189,94,46
511,361,331,178,98
512,472,518,227,158
513,283,311,203,133
514,132,114,55,24
515,525,515,199,109
516,666,641,275,129
517,312,369,202,138
518,422,535,270,179
519,126,149,98,77
520,48,54,50,55
521,410,463,222,90
522,216,329,168,74
523,400,494,233,117
524,85,117,132,145
525,363,460,378,210
526,415,587,386,176
527,56,53,52,56
528,488,586,341,212
529,638,593,248,110
530,171,266,214,130
531,872,825,305,125
532,319,283,297,224
533,61,75,85,86
534,49,71,68,56
535,117,146,130,107
536,624,446,243,242
537,336,533,289,147
538,146,277,196,158
539,138,128,142,140
540,344,411,359,269
541,203,251,226,149
542,167,218,202,129
543,384,383,219,177
544,180,149,108,84
545,536,400,212,99
546,328,385,156,80
547,343,356,194,111
548,289,175,160,169
549,113,139,132,122
550,148,177,137,138
551,138,218,219,231
552,50,83,78,79
553,35,54,40,49
554,269,358,335,331
555,364,262,222,167
556,30,42,48,44
557,205,136,128,126
558,51,82,88,91
