TZ id,1 bed,2 bed,3 bed,4 bed
270,459,525,253,74
276,213,308,97,35
277,128,121,26,10
278,424,295,87,35
279,55,88,9,3
283,40,37,2,0
284,87,102,61,48
285,275,459,161,52
287,91,125,56,34
288,24,55,27,9
292,167,283,246,130
294,137,240,213,176
507,56,74,68,79
508,309,429,290,254
509,724,740,383,154
510,189,213,106,52
511,407,373,201,111
512,532,584,256,178
513,319,350,229,150
514,148,128,62,27
515,592,581,224,122
516,750,723,310,145
517,351,416,228,155
518,476,603,305,202
519,142,168,111,87
520,54,61,57,62
521,462,522,250,102
522,243,371,189,84
523,451,557,263,131
524,96,132,148,163
525,409,518,426,237
526,467,662,435,198
527,64,60,59,63
528,550,660,384,239
529,719,668,280,123
530,193,300,241,146
531,983,930,343,140
532,360,319,335,253
533,69,85,96,97
534,55,80,77,63
535,132,164,146,120
536,703,502,274,273
537,379,601,326,165
538,164,313,221,178
539,156,145,160,157
540,388,464,404,304
541,229,283,255,168
542,188,245,228,145
543,432,431,247,199
544,203,168,121,95
545,604,451,239,112
546,370,434,176,91
547,386,401,219,125
548,325,197,180,190
549,127,157,148,137
550,167,199,154,155
551,156,245,247,261
552,56,93,88,89
553,40,61,45,56
554,303,404,377,373
555,410,295,250,188
556,34,47,54,50
557,231,153,144,142
558,57,92,100,103
