TZ id,1 bed,2 bed,3 bed,4 bed
270,468,535,258,75
276,217,314,99,36
277,131,123,27,10
278,432,301,89,36
279,56,90,9,3
283,41,38,2,0
284,89,104,62,49
285,281,468,164,53
287,93,127,57,35
288,24,56,28,9
292,170,289,251,133
294,140,245,217,179
507,57,75,69,81
508,315,437,296,259
509,739,755,391,157
510,193,217,109,53
511,416,380,205,113
512,543,596,261,181
513,325,357,233,153
514,151,131,64,28
515,604,592,229,125
516,765,737,317,148
517,358,425,232,158
518,486,615,311,206
519,145,172,113,89
520,55,62,58,64
521,472,533,255,104
522,248,379,193,86
523,460,568,268,134
524,98,135,151,166
525,417,529,435,242
526,477,675,444,202
527,65,61,60,65
528,561,674,392,244
529,733,681,285,126
530,197,306,246,149
531,1003,948,350,143
532,367,325,342,258
533,70,86,98,99
534,56,81,79,65
535,135,168,149,122
536,717,512,280,279
537,386,613,333,169
538,168,319,225,181
539,159,147,163,161
540,395,473,413,310
541,234,289,260,171
542,192,250,232,148
543,441,440,252,203
544,207,172,124,97
545,617,460,244,114
546,378,442,179,92
547,394,409,223,127
548,332,201,184,194
549,130,160,151,140
550,170,203,157,158
551,159,250,252,266
552,57,95,90,91
553,41,62,46,57
554,309,412,385,380
555,418,301,255,192
556,34,48,55,51
557,235,156,147,144
558,58,94,102,105
