TZ id,1 bed,2 bed,3 bed,4 bed
270,434,497,239,70
276,202,291,92,33
277,121,114,25,10
278,401,280,83,33
279,52,84,9,3
283,38,35,2,0
284,83,97,58,45
285,261,434,152,49
287,86,118,53,32
288,22,52,26,9
292,158,268,233,123
294,130,228,202,166
507,53,70,64,75
508,293,406,275,240
509,685,701,362,146
510,179,202,101,49
511,386,353,190,105
512,504,553,242,168
513,302,331,217,142
514,140,121,59,26
515,560,550,212,116
516,710,684,294,137
517,333,394,216,147
518,451,571,288,191
519,134,159,105,83
520,51,58,54,59
521,438,494,237,97
522,230,352,179,79
523,427,527,249,124
524,91,125,140,154
525,387,491,403,224
526,442,626,412,188
527,60,57,56,60
528,520,625,364,226
529,681,632,265,117
530,183,284,228,138
531,931,880,325,133
532,341,302,317,239
533,65,80,91,92
534,52,75,73,60
535,125,156,138,114
536,665,475,260,258
537,359,569,309,157
538,156,296,209,168
539,147,137,151,149
540,367,439,383,287
541,217,268,241,159
542,178,232,216,137
543,409,408,234,189
544,192,159,115,90
545,572,427,226,106
546,350,410,166,86
547,366,380,207,118
548,308,186,170,180
549,120,149,140,130
550,158,189,146,147
551,147,232,234,247
552,53,88,84,85
553,38,58,43,53
554,287,382,357,353
555,388,280,237,178
556,32,45,51,47
557,218,145,136,134
558,54,87,94,98
