TZ id,1 bed,2 bed,3 bed,4 bed
270,411,470,226,66
276,191,276,87,31
277,115,108,23,9
278,380,265,78,31
279,49,79,8,3
283,36,33,2,0
284,78,92,55,43
285,247,411,144,47
287,82,112,50,30
288,21,49,24,8
292,150,253,220,117
294,123,216,191,157
507,50,66,61,71
508,277,384,260,227
509,649,663,343,138
510,170,191,95,47
511,365,334,180,99
512,477,524,229,159
513,286,314,205,134
514,133,115,56,24
515,530,520,201,110
516,672,648,278,130
517,315,373,204,139
518,427,540,273,181
519,127,151,99,78
520,48,55,51,56
521,414,468,224,91
522,218,333,170,75
523,404,499,235,118
524,86,118,133,146
525,366,464,382,212
526,419,593,390,178
527,57,54,53,57
528,492,592,344,214
529,644,598,251,111
530,173,269,216,131
531,881,833,308,126
532,323,286,300,226
533,61,76,86,87
534,49,71,69,57
535,118,147,131,108
536,630,450,246,245
537,339,538,292,148
538,147,280,198,159
539,140,130,143,141
540,347,415,362,272
541,205,253,228,150
542,169,220,204,130
543,387,386,221,179
544,182,151,109,85
545,542,404,214,100
546,332,389,157,81
547,346,360,196,112
548,291,176,161,171
549,114,141,133,123
550,150,179,138,139
551,140,220,221,233
552,50,84,79,80
553,36,55,41,50
554,271,362,338,334
555,367,265,224,169
556,30,42,49,45
557,207,137,129,127
558,51,83,89,92
