TZ id,1 bed,2 bed,3 bed,4 bed
270,426,487,234,68
276,198,286,90,33
277,119,112,24,9
278,393,274,81,33
279,51,82,8,3
283,37,35,2,0
284,81,95,57,44
285,256,426,149,48
287,84,116,52,32
288,22,51,25,8
292,155,262,228,121
294,127,223,198,163
507,52,68,63,74
508,287,398,269,235
509,672,687,355,143
510,176,198,99,48
511,378,346,186,103
512,494,542,238,165
513,296,325,212,139
514,138,119,58,25
515,549,539,208,114
516,696,671,288,135
517,326,386,211,144
518,442,560,283,187
519,132,156,103,81
520,50,57,53,58
521,429,484,232,95
522,225,345,176,78
523,419,517,244,122
524,89,123,138,151
525,379,481,395,220
526,434,614,404,184
527,59,56,55,59
528,510,613,356,222
529,667,620,260,115
530,179,279,224,136
531,912,863,318,130
532,334,296,311,234
533,64,79,89,90
534,51,74,71,59
535,123,153,136,111
536,652,466,254,253
537,352,557,303,153
538,153,290,205,165
539,145,134,148,146
540,360,430,375,282
541,213,262,237,156
542,175,228,211,135
543,401,400,229,185
544,188,156,112,88
545,561,419,222,104
546,343,402,163,84
547,358,372,203,116
548,302,183,167,177
549,118,146,138,127
550,155,185,143,144
551,145,228,229,242
552,52,87,82,83
553,37,57,42,52
554,281,375,350,346
555,380,274,232,174
556,31,44,50,46
557,214,142,133,131
558,53,86,93,96
