TZ id,1 bed,2 bed,3 bed,4 bed
270,452,517,249,73
276,210,303,96,35
277,126,119,26,10
278,417,291,86,35
279,54,87,9,3
283,39,37,2,0
284,86,101,60,47
285,271,452,158,51
287,90,123,55,33
288,23,54,27,9
292,164,279,242,128
294,135,237,210,173
507,55,72,67,78
508,304,422,286,250
509,713,729,377,152
510,187,210,105,51
511,401,367,198,109
512,524,576,252,175
513,314,345,225,147
514,146,126,61,27
515,583,572,221,121
516,739,712,306,143
517,346,410,224,153
518,469,594,300,199
519,140,166,109,86
520,53,60,56,61
521,455,514,247,100
522,239,366,186,83
523,444,549,259,129
524,95,130,146,161
525,403,511,420,233
526,460,652,429,195
527,63,59,58,62
528,541,651,378,235
529,708,658,276,122
530,190,296,238,144
531,969,916,338,138
532,355,314,330,249
533,68,83,95,96
534,54,79,76,62
535,130,162,144,118
536,692,495,270,269
537,373,592,321,163
538,162,308,218,175
539,153,142,157,155
540,382,457,398,299
541,226,279,251,165
542,185,242,224,143
543,426,425,243,196
544,200,166,119,94
545,595,444,235,110
546,365,427,173,89
547,381,395,215,123
548,320,194,177,187
549,125,155,146,135
550,164,196,152,153
551,153,242,243,257
552,55,92,87,88
553,39,60,45,55
554,298,398,372,367
555,404,291,247,185
556,33,47,54,49
557,227,151,142,139
558,56,91,98,102
