TZ id,1 bed,2 bed,3 bed,4 bed
270,428,489,236,69
276,199,287,91,33
277,120,113,24,10
278,395,275,81,33
279,51,83,8,3
283,37,35,2,0
284,81,95,57,44
285,257,428,150,49
287,85,116,52,32
288,22,51,25,8
292,156,264,229,121
294,128,224,199,164
507,52,69,63,74
508,288,400,270,237
509,675,690,357,144
510,177,199,99,49
511,380,347,187,104
512,496,545,239,166
513,297,327,213,139
514,138,120,58,25
515,552,542,209,114
516,700,674,289,135
517,328,388,212,145
518,444,562,284,188
519,132,157,104,81
520,50,57,53,58
521,431,487,233,95
522,227,346,176,78
523,421,519,245,123
524,89,123,138,152
525,381,483,397,221
526,436,617,406,185
527,59,56,55,59
528,512,616,358,223
529,670,623,261,115
530,180,280,225,136
531,917,867,320,131
532,336,297,313,236
533,64,79,90,91
534,51,74,72,59
535,123,153,136,112
536,655,468,256,255
537,353,560,304,154
538,153,292,206,166
539,145,135,149,147
540,361,432,377,283
541,214,264,238,156
542,175,229,212,135
543,403,402,230,186
544,189,157,113,89
545,564,421,223,105
546,345,404,164,85
547,360,374,204,116
548,303,184,168,177
549,119,146,138,128
550,156,186,144,145
551,145,229,230,243
552,52,87,82,83
553,37,57,42,52
554,282,376,352,348
555,382,275,233,175
556,31,44,51,46
557,215,143,134,132
558,53,86,93,96
