TZ id,1 bed,2 bed,3 bed,4 bed
270,415,475,229,67
276,193,279,88,32
277,116,109,24,9
278,383,267,79,32
279,50,80,8,3
283,36,34,2,0
284,79,92,55,43
285,249,415,146,47
287,82,113,50,31
288,21,50,25,8
292,151,256,222,118
294,124,218,193,159
507,51,67,62,72
508,280,388,262,230
509,655,670,347,139
510,171,193,96,47
511,369,337,181,100
512,482,529,232,161
513,289,317,207,135
514,134,116,56,25
515,536,526,203,111
516,679,654,281,131
517,318,377,206,140
518,431,546,276,182
519,129,152,100,79
520,48,55,51,56
521,418,473,227,92
522,220,336,171,76
523,408,504,238,119
524,87,120,134,148
525,370,469,385,214
526,423,599,394,179
527,58,54,53,57
528,497,598,348,216
529,651,604,253,112
530,175,272,218,132
531,890,841,311,127
532,326,289,303,229
533,62,77,87,88
534,50,72,70,57
535,120,149,132,109
536,636,454,248,247
537,343,544,295,150
538,149,283,200,161
539,141,131,145,143
540,351,420,366,275
541,208,256,231,152
542,170,222,206,131
543,391,390,224,180
544,184,152,110,86
545,547,408,216,101
546,335,392,159,82
547,350,363,198,113
548,294,178,163,172
549,115,142,134,124
550,151,180,139,140
551,141,222,224,236
552,51,85,80,81
553,36,55,41,50
554,274,365,341,337
555,371,267,227,170
556,30,43,49,45
557,209,139,130,128
558,52,83,90,93
