TZ id,1 bed,2 bed,3 bed,4 bed
270,461,527,254,74
276,214,309,98,35
277,129,121,26,10
278,426,297,88,35
279,55,89,9,3
283,40,38,2,0
284,88,103,61,48
285,277,461,162,52
287,91,125,56,34
288,24,55,27,9
292,168,284,247,131
294,138,242,214,176
507,56,74,68,80
508,311,431,291,255
509,728,744,385,155
510,190,214,107,52
511,410,374,202,112
512,535,587,257,179
513,321,352,230,150
514,149,129,63,27
515,595,584,225,123
516,754,726,312,146
517,353,418,229,156
518,478,606,306,203
519,143,169,112,88
520,54,61,57,63
521,465,525,252,102
522,244,373,190,84
523,453,560,264,132
524,96,133,149,164
525,411,521,428,238
526,470,665,437,199
527,64,60,59,64
528,552,664,386,240
529,723,671,281,124
530,194,302,242,147
531,988,934,345,141
532,362,321,337,254
533,69,85,97,98
534,55,80,77,64
535,133,165,147,121
536,706,505,276,274
537,381,604,328,166
538,165,314,222,179
539,157,145,161,158
540,389,466,406,305
541,230,284,256,168
542,189,247,229,146
543,435,433,248,200
544,204,169,122,96
545,607,453,240,113
546,372,436,176,91
547,388,403,220,125
548,327,198,181,191
549,128,158,149,138
550,168,200,155,156
551,157,247,248,262
552,56,94,89,90
553,40,61,46,56
554,304,406,379,375
555,412,297,252,189
556,34,48,55,50
557,232,154,145,142
558,58,93,100,104
