TZ id,1 bed,2 bed,3 bed,4 bed
270,411,470,249,73
276,191,276,96,35
277,115,108,26,10
278,379,264,86,35
279,49,79,9,3
283,36,33,2,0
284,78,92,60,47
285,247,411,158,51
287,81,112,55,33
288,21,49,27,9
292,150,253,242,128
294,123,215,210,173
507,50,66,67,78
508,277,384,286,250
509,648,663,377,152
510,170,191,105,51
511,365,334,198,109
512,477,523,252,175
513,286,314,225,147
514,133,115,61,27
515,530,520,221,121
516,672,647,306,143
517,315,373,224,153
518,426,540,300,199
519,127,151,109,86
520,48,55,56,61
521,414,468,247,100
522,218,333,186,83
523,404,499,259,129
524,86,118,146,161
525,366,464,420,233
526,418,593,429,195
527,57,54,58,62
528,492,591,378,235
529,644,598,276,122
530,173,269,238,144
531,881,833,338,138
532,323,286,330,249
533,61,76,95,96
534,49,71,76,62
535,118,147,144,118
536,629,450,270,269
537,339,538,321,163
538,147,280,218,175
539,139,129,157,155
540,347,415,398,299
541,205,253,251,165
542,169,220,224,143
543,387,386,243,196
544,182,151,119,94
545,541,404,235,110
546,331,388,173,89
547,346,359,215,123
548,291,176,177,187
549,114,141,146,135
550,150,179,152,153
551,139,220,243,257
552,50,84,87,88
553,36,55,45,55
554,271,362,372,367
555,367,264,247,185
556,30,42,54,49
557,206,137,142,139
558,51,83,98,102
