TZ id,1 bed,2 bed,3 bed,4 bed
270,383,438,232,68
276,178,257,90,32
277,107,101,24,9
278,354,247,80,32
279,46,74,8,3
283,33,31,2,0
284,73,85,56,44
285,230,383,148,48
287,76,104,51,31
288,20,46,25,8
292,139,236,226,120
294,114,201,196,161
507,47,61,62,73
508,258,358,266,233
509,605,618,352,142
510,158,178,98,48
511,340,311,184,102
512,444,488,235,163
513,266,292,210,137
514,124,107,57,25
515,494,485,206,112
516,627,604,285,133
517,293,348,209,143
518,398,504,280,185
519,119,140,102,80
520,45,51,52,57
521,386,436,230,94
522,203,310,174,77
523,377,465,241,121
524,80,110,136,150
525,341,433,391,218
526,390,553,400,182
527,53,50,54,58
528,459,552,353,220
529,600,558,257,113
530,161,251,222,134
531,821,776,315,129
532,301,266,308,232
533,57,71,88,90
534,46,67,71,58
535,110,137,134,110
536,587,419,252,251
537,316,502,300,152
538,137,261,203,163
539,130,121,147,145
540,324,387,372,279
541,191,236,234,154
542,157,205,209,133
543,361,360,227,183
544,170,140,111,87
545,505,377,220,103
546,309,362,161,83
547,323,335,201,114
548,272,164,165,175
549,106,131,136,126
550,139,167,142,143
551,130,205,227,239
552,47,78,81,82
553,33,51,42,51
554,253,337,347,342
555,342,247,230,173
556,28,40,50,46
557,193,128,132,130
558,48,77,92,95
