TZ id,1 bed,2 bed,3 bed,4 bed
270,379,434,230,67
276,176,255,89,32
277,106,100,24,9
278,350,244,79,32
279,45,73,8,3
283,33,31,2,0
284,72,84,56,43
285,228,379,146,47
287,75,103,50,31
288,20,45,25,8
292,138,234,224,118
294,113,199,194,160
507,46,61,62,72
508,256,354,264,231
509,599,612,348,140
510,157,176,97,47
511,337,308,182,101
512,440,483,233,162
513,264,290,208,136
514,123,106,57,25
515,489,480,204,111
516,620,598,282,132
517,291,344,207,141
518,394,499,277,183
519,117,139,101,79
520,44,50,52,57
521,382,432,228,93
522,201,307,172,76
523,373,461,239,120
524,79,109,135,148
525,338,429,387,215
526,386,547,396,180
527,53,49,54,58
528,454,546,349,217
529,595,552,255,112
530,160,248,219,133
531,813,769,312,128
532,298,264,305,230
533,57,70,88,89
534,45,66,70,58
535,109,136,133,109
536,581,415,249,248
537,313,497,297,150
538,136,259,201,162
539,129,120,145,143
540,320,383,368,276
541,190,234,232,152
542,156,203,207,132
543,358,357,225,181
544,168,139,110,87
545,500,373,217,102
546,306,359,160,82
547,319,332,199,113
548,269,163,164,173
549,105,130,135,125
550,138,165,140,141
551,129,203,225,237
552,46,77,80,81
553,33,50,41,50
554,250,334,343,339
555,339,244,228,171
556,28,39,49,45
557,191,127,131,129
558,47,76,91,94
