TZ id,1 bed,2 bed,3 bed,4 bed
270,405,463,245,71
276,188,272,95,34
277,113,107,25,10
278,374,261,85,34
279,48,78,9,3
283,35,33,2,0
284,77,90,59,46
285,243,405,156,51
287,80,110,54,33
288,21,48,26,9
292,147,250,239,126
294,121,212,207,170
507,49,65,66,77
508,273,378,281,246
509,639,653,372,150
510,167,188,103,51
511,360,329,195,108
512,469,516,248,173
513,281,309,222,145
514,131,113,60,26
515,522,512,218,119
516,662,638,301,141
517,310,367,221,151
518,420,532,296,196
519,125,148,108,85
520,47,54,55,60
521,408,461,243,99
522,214,328,184,81
523,398,491,255,128
524,85,117,144,158
525,361,457,413,230
526,412,584,422,192
527,56,53,57,62
528,485,583,373,232
529,634,589,272,120
530,170,265,234,142
531,867,820,333,136
532,318,281,325,245
533,60,75,93,95
534,48,70,75,62
535,117,145,142,117
536,620,443,266,265
537,334,530,317,161
538,145,276,214,173
539,137,128,155,153
540,342,409,392,295
541,202,250,247,163
542,166,217,221,141
543,381,380,240,193
544,179,148,118,92
545,533,398,232,109
546,327,383,170,88
547,341,354,212,121
548,287,174,175,185
549,112,139,144,133
550,147,176,150,151
551,137,217,240,253
552,49,82,86,87
553,35,54,44,54
554,267,356,366,362
555,362,261,243,183
556,30,42,53,48
557,203,135,140,137
558,51,81,97,100
