TZ id,1 bed,2 bed,3 bed,4 bed
270,399,456,242,70
276,185,268,93,34
277,112,105,25,10
278,368,257,83,34
279,48,77,9,3
283,35,32,2,0
284,76,89,58,45
285,239,399,154,50
287,79,108,53,32
288,21,48,26,9
292,145,246,235,125
294,119,209,204,168
507,49,64,65,76
508,269,373,277,243
509,629,643,366,147
510,165,185,102,50
511,354,324,192,106
512,462,508,245,170
513,277,304,219,143
514,129,112,60,26
515,514,505,214,117
516,652,628,297,139
517,305,362,218,148
518,414,524,291,193
519,123,146,106,83
520,47,53,54,60
521,402,454,239,97
522,211,323,181,80
523,392,484,251,126
524,83,115,142,156
525,355,451,407,226
526,406,575,416,190
527,55,52,56,61
528,478,574,367,229
529,625,581,268,118
530,168,261,231,140
531,855,808,328,134
532,313,277,321,242
533,60,74,92,93
534,48,69,74,61
535,115,143,140,115
536,611,436,262,261
537,329,522,312,158
538,143,272,211,170
539,135,126,153,151
540,337,403,387,290
541,199,246,244,160
542,164,213,218,139
543,376,375,236,191
544,177,146,116,91
545,525,392,229,107
546,322,377,168,87
547,336,349,209,119
548,283,171,172,182
549,110,136,142,131
550,145,173,147,148
551,135,213,236,249
552,49,81,84,86
553,35,53,43,53
554,263,351,361,356
555,356,257,239,180
556,29,41,52,48
557,200,133,138,135
558,50,80,95,99
