TZ id,1 bed,2 bed,3 bed,4 bed
270,419,479,254,74
276,195,281,98,35
277,117,110,26,10
278,387,270,88,35
279,50,81,9,3
283,36,34,2,0
284,80,93,61,48
285,252,419,162,52
287,83,114,56,34
288,22,50,27,9
292,153,258,247,131
294,125,220,214,176
507,51,67,68,80
508,282,392,291,255
509,661,676,385,155
510,173,195,107,52
511,372,340,202,112
512,486,534,257,179
513,291,320,230,150
514,135,117,63,27
515,541,531,225,123
516,685,660,312,146
517,321,380,229,156
518,435,551,306,203
519,130,154,112,88
520,49,56,57,63
521,422,477,252,102
522,222,339,190,84
523,412,509,264,132
524,88,121,149,164
525,373,474,428,238
526,427,605,437,199
527,58,55,59,64
528,502,603,386,240
529,657,610,281,124
530,176,274,242,147
531,898,849,345,141
532,329,291,337,254
533,63,77,97,98
534,50,73,77,64
535,121,150,147,121
536,642,459,276,274
537,346,549,328,166
538,150,286,222,179
539,142,132,161,158
540,354,424,406,305
541,209,258,256,168
542,172,224,229,146
543,395,394,248,200
544,186,154,122,96
545,552,412,240,113
546,338,396,176,91
547,353,367,220,125
548,297,180,181,191
549,116,143,149,138
550,153,182,155,156
551,142,224,248,262
552,51,85,89,90
553,36,56,46,56
554,277,369,379,375
555,375,270,252,189
556,31,43,55,50
557,211,140,145,142
558,52,84,100,104
