"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"271","2","1","0","2","592.4","945","266.580"
"273","2","2","0","3","881.6","1518","637.271"
"358","1","1","0","1","61.0","945","27.450"
"411","1","4","0","1","242.9","358","41.409"
"546","1","1","0","2","459.7","1518","332.297"
"697","1","1","0","2","1468.9","1891","1322.709"
"709","1","1","0","2","159.4","1218","92.452"
"711","1","1","0","2","126.9","1125","67.982"
"713","1","1","0","2","233.0","7847","870.643"
"718","2","1","0","3","762.4","1891","686.523"
"803","1","1","0","2","270.5","1891","243.579"
"930","1","2","0","2","74.9","1125","40.125"
"967","3","1","0","1","1129.3","7847","4219.818"
"670","2","5","0","1","1039.6","545","269.801"
"711","1","2","0","1","237.8","1125","127.393"
"452","1","1","0","2","128.8","945","57.960"
"494","1","4","0","2","178.7","1891","160.915"
"683","1","1","0","2","197.0","7847","736.123"
"683","2","1","0","3","580.0","745","205.762"
"722","2","1","0","3","1374.3","1218","797.094"
"722","4","1","0","2","246.4","945","110.880"
"722","5","1","0","2","246.4","358","42.005"
"758","2","3","0","1","1039.6","745","368.810"
"767","1","1","0","2","136.0","545","35.295"
"880","1","1","0","2","171.8","358","29.288"
"880","2","1","0","11","171.8","745","60.948"
"924","2","3","0","3","124.2","1218","72.036"
"946","2","1","0","1","417.9","7847","1561.553"
"686","2","2","0","2","501.0","945","225.450"
"283","2","1","0","1","61.0","7847","227.937"
"537","1","3","0","1","272.0","945","122.400"
"647","2","1","0","1","61.0","1518","44.094"
"763","1","1","0","2","170.3","1125","91.232"
"763","3","1","0","11","170.3","945","76.635"
"763","4","1","0","11","170.3","0","0.000"
"778","1","1","0","2","92.8","745","32.922"
"766","2","2","0","2","1332.0","1518","962.846"
"442","1","3","0","1","1544.9","745","548.072"
"271","2","2","0","2","249.8","945","112.410"
"275","1","1","0","2","144.9","222","15.318"
"308","1","1","0","2","115.5","7847","431.585"
"358","1","2","0","3","125.0","945","56.250"
