"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"272","1","1","0","2","0.0","1891","0.000"
"273","1","1","0","3","1394.2","1518","1007.807"
"273","2","1","0","3","974.9","1218","565.442"
"277","2","1","0","8","0.0","0","0.000"
"292","1","1","0","3","1311.7","945","590.265"
"292","2","1","0","11","357.9","7847","1337.353"
"292","3","1","0","11","425.9","0","0.000"
"307","1","1","0","3","2251.5","945","1013.175"
"307","2","1","0","3","876.0","1125","469.286"
"307","3","1","0","3","2257.4","0","0.000"
"320","2","1","0","11","0.0","545","0.000"
"321","1","1","0","11","1376.9","545","357.338"
"348","1","1","0","3","1937.5","1218","1123.750"
"372","2","1","0","11","1513.7","0","0.000"
"379","2","1","0","2","1450.0","7847","5418.167"
"379","3","1","0","2","351.2","1125","188.143"
"383","1","1","0","2","1536.1","1125","822.911"
"383","2","1","0","2","155.3","1891","139.844"
"385","1","8","0","2","0.0","7847","0.000"
"386","2","1","0","3","3212.7","7847","12004.789"
"389","2","1","0","3","1572.9","1891","1416.359"
"396","1","1","0","2","252.0","109","13.080"
"396","2","1","0","2","467.1","0","0.000"
"399","7","1","0","11","1448.7","945","651.915"
"400","4","1","0","11","1384.5","1125","741.696"
"401","1","1","0","3","630.2","945","283.590"
"401","3","1","0","3","1813.2","545","470.569"
"401","4","1","0","3","3467.1","0","0.000"
"412","2","1","0","2","0.0","222","0.000"
"416","1","1","0","2","0.0","1218","0.000"
"416","2","1","0","2","1393.2","1218","808.056"
"419","4","1","0","2","1403.2","0","0.000"
"419","7","1","0","2","255.7","0","0.000"
"422","12","1","0","11","458.2","1218","265.756"
"424","2","1","0","3","1596.9","545","414.434"
"531","1","1","0","2","108.4","7847","405.055"
"531","3","1","0","2","166.5","0","0.000"
"653","3","1","0","8","0.0","0","0.000"
"661","1","1","0","3","691.7","222","73.123"
"661","3","1","0","3","2467.4","0","0.000"
"664","3","1","0","11","163.8","545","42.510"
"665","1","1","0","3","2712.7","1518","1960.895"
"667","1","1","0","3","667.2","945","300.240"
"667","2","1","0","3","1192.1","0","0.000"
"684","2","1","0","2","440.7","1218","255.606"
"684","3","1","0","2","1463.3","0","0.000"
"698","1","1","0","11","1453.2","358","247.736"
"714","1","1","0","3","3005.4","745","1066.201"
"720","3","1","0","3","1586.1","945","713.745"
"754","23","1","0","3","3122.5","745","1107.744"
"770","2","1","0","11","229.7","222","24.283"
"771","1","1","0","11","1320.6000000000001","945","594.270"
"776","1","1","0","11","1516.4","109","78.708"
"798","1","1","0","8","0.0","1125","0.000"
"798","2","1","0","8","0.0","1125","0.000"
