"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"321","1","1","0","11","1378.3","545","357.702"
"400","4","1","0","11","294.7","1125","157.875"
"414","2","1","0","3","2172.9","1518","1570.696"
"428","1","1","0","11","0.0","0","0.000"
"458","1","1","0","11","325.1","358","55.422"
"661","1","1","0","3","267.5","222","28.279"
"661","3","1","0","11","102.7","0","0.000"
"771","1","1","0","11","249.7","945","112.365"
"928","2","1","0","3","1410.0","7847","5268.700"
"362","2","1","0","2","329.1","745","116.752"
"863","1","1","0","2","88.3","1125","47.304"
"332","1","1","0","4","1509.6","109","78.355"
"886","2","1","0","3","1031.1","545","267.595"
"442","1","1","0","2","84.1","745","29.835"
"522","1","1","0","2","1284.8","222","135.822"
"824","1","1","0","2","207.6","1125","111.214"
"652","1","1","0","2","162.5","1218","94.250"
"766","2","1","0","3","468.3","1518","338.514"
"775","1","1","0","2","154.6","945","69.570"
"806","1","1","0","2","270.5","1218","156.890"
"281","2","1","0","2","587.7","945","264.465"
"360","1","1","0","3","587.0","222","62.054"
"452","1","1","0","2","1446.4","945","650.880"
"509","1","1","0","2","138.5","358","23.611"
"713","1","1","0","2","194.2","7847","725.661"
"746","1","1","0","2","76.3","745","27.068"
"820","1","1","0","2","1393.5","1518","1007.301"
"822","1","1","0","3","3268.4","545","848.228"
"825","1","1","0","2","144.4","1125","77.357"
"850","1","1","0","2","222.5","1125","119.196"
"886","2","2","0","3","175.3","545","45.495"
"806","1","2","0","2","173.9","1218","100.862"
"360","1","2","0","11","1409.5","222","149.004"
"766","1","1","0","2","531.0","945","238.950"
"774","4","1","0","3","767.1","7847","2866.397"
"928","3","1","0","3","926.6","1218","537.428"
"436","2","1","0","3","699.1","1891","629.523"
"863","2","1","0","3","792.5","222","83.779"
"307","1","1","0","2","115.4","945","51.930"
"331","1","1","0","2","131.6","1891","118.503"
"399","1","1","0","1","1101.0","222","116.391"
"408","2","1","0","3","2477.7","1891","2231.110"
"467","1","1","0","2","636.3","7847","2377.641"
"545","1","1","0","2","1264.8","222","133.707"
"653","1","1","0","2","1386.9","1518","1002.531"
"653","2","1","0","11","89.5","7847","334.432"
"721","2","1","0","3","432.6","7847","1616.482"
"825","1","2","0","2","144.4","1125","77.357"
"906","2","1","0","2","127.9","1125","68.518"
"436","2","2","0","3","1357.2","1891","1222.126"
"731","1","1","0","2","208.5","545","54.111"
"717","2","1","0","3","429.1","1891","386.394"
"723","2","1","0","3","781.8","745","277.353"
"360","1","3","0","11","183.1","222","19.356"
"407","2","1","0","3","969.6","1218","562.368"
"407","3","1","0","11","223.6","945","100.620"
"456","1","1","0","2","225.8","222","23.870"
"508","1","1","0","2","98.8","1518","71.418"
"718","2","1","0","3","1042.1","1891","938.386"
"763","3","1","0","3","432.6","945","194.670"
"864","1","1","0","2","1270.4","745","450.690"
"923","2","1","0","3","883.7","745","313.503"
"497","1","1","0","2","95.5","1518","69.033"
"512","1","1","0","3","1316.0","1218","763.280"
"702","1","1","0","3","1777.3","945","799.785"
"778","1","1","0","1","1334.8","745","473.536"
"306","1","1","0","2","290.8","945","130.860"
"345","1","1","0","1","1174.2","1891","1057.339"
"363","2","1","0","2","181.8","1218","105.444"
"389","1","1","0","2","144.9","0","0.000"
"389","2","1","0","11","144.9","1891","130.479"
"397","2","1","0","2","114.1","1891","102.744"
"399","1","2","0","1","1101.0","222","116.391"
"416","2","1","0","11","76.0","1218","44.080"
"685","1","1","0","2","1584.3000000000002","1891","1426.624"
"721","1","1","0","2","1574.5","222","166.447"
"770","1","1","0","2","236.9","1891","213.323"
"770","2","1","0","11","236.9","222","25.044"
"829","2","1","0","1","601.1","1218","348.638"
"881","1","1","0","2","299.8","1125","160.607"
"407","2","2","0","3","629.2","1218","364.936"
"393","2","1","0","2","586.7","7847","2192.302"
"547","1","1","0","1","1331.1","545","345.452"
"663","2","1","0","3","1329.2","1125","712.071"
