"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"271","1","1","0","3","2722.9","1218","1579.282"
"271","4","1","0","11","96.7","0","0.000"
"275","2","1","0","3","1222.2","745","433.590"
"275","5","1","0","11","1845.3000000000002","0","0.000"
"297","3","1","0","11","0.0","0","0.000"
"299","2","1","0","11","1411.5","1218","818.670"
"334","2","1","0","11","0.0","7847","0.000"
"342","1","1","0","11","314.3","222","33.226"
"362","1","1","0","3","176.2","945","79.290"
"381","1","1","0","3","1917.6","945","862.920"
"381","2","1","0","3","2012.2","7847","7518.921"
"381","3","1","0","3","1401.9","0","0.000"
"399","4","1","0","11","1496.5","1125","801.696"
"407","3","1","0","11","0.0","0","0.000"
"408","1","1","0","3","2884.2","1125","1545.107"
"410","5","1","0","8","0.0","0","0.000"
"417","1","1","0","3","1367.1","1518","988.218"
"422","3","1","0","11","413.8","1125","221.679"
"422","8","1","0","11","0.0","1125","0.000"
"428","2","1","0","3","2564.5","1125","1373.839"
"433","2","1","0","3","1691.2","358","288.309"
"440","1","1","0","3","2480.3","745","879.916"
"443","2","1","0","3","2391.8","745","848.520"
"446","1","1","0","2","163.9","1518","118.476"
"446","2","1","0","2","331.4","0","0.000"
"446","3","1","0","2","224.6","0","0.000"
"458","1","1","0","11","319.5","358","54.467"
"496","2","1","0","11","0.0","0","0.000"
"531","2","1","0","3","3408.5","745","1209.206"
"653","2","1","0","11","259.7","7847","970.412"
"653","3","1","0","11","1482.7","0","0.000"
"661","1","1","0","3","606.0","222","64.063"
"671","2","1","0","2","361.5","7847","1350.805"
"681","1","1","0","11","199.8","1891","179.915"
"684","3","1","0","11","325.5","0","0.000"
"723","2","1","0","11","418.5","745","148.468"
"735","2","1","0","11","120.1","745","42.607"
"754","4","1","0","11","1432.0","945","644.400"
"754","5","1","0","3","975.2","0","0.000"
"768","1","1","0","3","2214.8","1891","1994.375"
"815","1","1","0","8","0.0","1125","0.000"
"815","2","1","0","8","0.0","1125","0.000"
"815","3","1","0","8","0.0","0","0.000"
"828","3","1","0","11","0.0","0","0.000"
"850","1","1","0","8","0.0","1125","0.000"
"861","3","1","0","1","908.3","0","0.000"
"863","1","1","0","8","0.0","1125","0.000"
"882","2","1","0","1","1878.3","0","0.000"
"898","2","1","0","8","0.0","0","0.000"
"924","5","1","0","7","1090.5","1218","632.490"
"928","2","1","0","11","207.9","7847","776.853"
"933","1","1","0","8","0.0","1125","0.000"
"936","1","1","0","1","1851.3","1218","1073.754"
"944","1","1","0","8","0.0","745","0.000"
"944","2","1","0","8","0.0","1125","0.000"
"944","3","1","0","8","0.0","0","0.000"
"950","1","1","0","8","0.0","945","0.000"
"995","1","1","0","8","0.0","1125","0.000"
"1018","4","1","0","11","0.0","0","0.000"
"1020","4","1","0","8","0.0","1125","0.000"
"1047","1","1","0","11","359.2","745","127.430"
"422","21","1","0","4","1785.8","1125","956.679"
"423","3","1","0","3","1327.5","1125","711.161"
"751","2","1","0","3","420.8","745","149.284"
"754","3","1","0","3","624.5","1125","334.554"
"1015","2","1","0","3","1509.3","1125","808.554"
"356","2","1","0","3","758.3","945","341.235"
"724","4","1","0","11","572.6","1125","306.750"
"405","1","1","0","3","1162.6","1218","674.308"
"928","1","1","0","11","409.3","1125","219.268"
"930","1","1","0","4","3220.9","1125","1725.482"
"930","2","1","0","4","1215.2","1125","651.000"
"674","1","1","0","2","1354.0","358","230.825"
"366","1","1","0","3","1927.5","222","203.764"
"460","1","1","0","3","1029.1","1218","596.878"
"494","1","1","0","3","560.6","1891","504.807"
"427","1","1","0","3","1445.0","1218","838.100"
"455","1","1","0","3","2542.5","7847","9500.475"
"480","1","1","0","3","1282.3","1218","743.734"
"740","2","1","0","3","364.4","745","129.275"
"902","1","1","0","3","2850.3","1125","1526.946"
"1020","1","1","0","3","442.3","1125","236.946"
"268","2","1","0","3","748.9","745","265.681"
"775","1","1","0","3","2414.5","945","1086.525"
"512","1","2","0","11","1346.1000000000001","1218","780.738"
"763","2","1","0","3","1096.0","545","284.438"
"400","1","1","0","3","2426.9","1891","2185.366"
"400","3","1","0","11","442.5","0","0.000"
"645","1","1","0","2","144.4","745","51.228"
"709","2","1","0","3","1676.2","745","594.652"
"366","1","2","0","3","1512.7","222","159.914"
"292","1","1","0","3","1381.9","945","621.855"
"494","1","2","0","3","1131.7","1891","1019.069"
"648","1","1","0","3","1515.4","545","393.282"
"722","1","1","0","3","587.7","745","208.494"
"741","2","1","0","3","961.9","222","101.687"
"751","2","2","0","3","777.3","745","275.756"
"827","1","1","0","3","681.0","1218","394.980"
"959","1","1","0","3","1534.8","1891","1382.051"
"1010","1","1","0","3","1664.3","1125","891.589"
"1010","2","1","0","11","334.0","1125","178.929"
"1031","3","1","0","3","1915.6","358","326.564"
"512","1","3","0","3","1559.2","1218","904.336"
"670","2","2","0","11","1466.0","545","380.462"
"743","2","1","0","3","2014.9","1125","1079.411"
"746","3","1","0","3","907.9","1518","656.282"
"276","2","1","0","3","753.9","1518","544.962"
"674","1","2","0","2","1507.9","358","257.061"
"739","2","1","0","3","400.4","1125","214.500"
"994","1","1","0","1","1125.3","222","118.960"
"338","2","1","0","3","1306.4","1518","944.341"
"924","2","2","0","3","474.9","1218","275.442"
"962","1","1","0","3","837.0","945","376.650"
"366","1","3","0","3","604.4","222","63.894"
"331","2","1","0","3","893.8","545","231.962"
"828","1","1","0","3","2789.6","1518","2016.482"
"388","2","1","0","3","1497.7","7847","5596.406"
"405","2","1","0","3","1276.0","745","452.676"
"405","3","1","0","3","1177.3","1125","630.696"
"436","2","2","0","11","1456.5","1891","1311.544"
"556","1","1","0","2","96.6","545","25.070"
"672","2","1","0","3","697.4","1518","504.121"
"701","2","1","0","2","80.4","945","36.180"
"719","1","1","0","11","1321.0","1125","707.679"
"761","1","1","0","3","2591.3","222","273.937"
"779","1","1","0","3","2192.6","1125","1174.607"
"906","2","1","0","3","3835.5","1125","2054.732"
"999","1","1","0","2","227.9","545","59.145"
"994","1","2","0","1","1125.3","222","118.960"
"310","1","1","0","3","1003.4","7847","3749.371"
"385","1","1","0","2","178.4","7847","666.621"
"971","2","1","0","3","501.5","745","177.913"
"670","2","3","0","3","1158.7","545","300.710"
"292","1","3","0","4","2119.4","945","953.730"
"327","1","1","0","11","176.9","745","62.757"
"327","2","1","0","3","246.8","745","87.555"
"418","1","1","0","3","1382.3","1218","801.734"
"425","2","1","0","3","2032.4","1125","1088.786"
"882","1","1","0","3","2031.6","1518","1468.557"
"882","3","1","0","11","1348.9","0","0.000"
"343","1","1","0","3","1939.3","1518","1401.837"
"680","2","1","0","2","1453.1000000000001","358","247.719"
"691","1","1","0","2","255.5","7847","954.718"
"855","1","1","0","3","1895.0","745","672.274"
"968","1","1","0","3","915.0","1125","490.179"
"436","2","3","0","3","956.8","1891","861.576"
"388","2","2","0","3","2187.4","7847","8173.585"
"268","2","2","0","3","1822.1","745","646.412"
"394","1","1","0","3","1827.3","945","822.285"
"413","1","1","0","2","590.5","358","100.666"
"442","1","1","0","3","2810.1","745","996.916"
"476","1","1","0","2","88.8","945","39.960"
"494","1","3","0","3","277.2","1891","249.612"
"513","1","1","0","3","2190.8","1218","1270.664"
"534","1","1","0","3","1563.2","7847","5841.157"
"664","1","1","0","3","1773.8","945","798.210"
"686","1","1","0","3","414.1","545","107.469"
"686","2","1","0","3","305.1","945","137.295"
"719","1","2","0","4","712.3","1125","381.589"
"777","1","1","0","3","986.8","1125","528.643"
"843","1","1","0","3","2459.1","7847","9188.837"
"849","2","1","0","3","206.0","1891","185.498"
"857","1","1","0","3","1086.8","7847","4061.009"
"865","2","1","0","2","115.6","7847","431.959"
"914","1","1","0","2","342.9","1891","308.773"
"949","2","1","0","11","1471.8","945","662.310"
"953","1","1","0","3","2370.0","1125","1269.643"
"974","2","1","0","3","1363.4","1125","730.393"
"1009","1","1","0","3","2692.3","745","955.125"
"1013","1","1","0","3","1959.5","745","695.156"
"1013","2","1","0","11","541.5","745","192.104"
"670","2","4","0","3","2056.5","545","533.711"
"900","1","1","0","2","109.6","945","49.320"
"497","1","1","0","11","303.5","1518","219.387"
"535","2","1","0","3","911.0","1891","820.334"
"763","2","3","0","3","1650.7","545","428.396"
"993","2","1","0","3","1425.6","1891","1283.719"
"1050","2","1","0","3","998.6","1125","534.964"
"779","1","2","0","3","1306.8","1125","700.071"
"969","2","2","0","3","1094.7","1125","586.446"
"948","1","1","0","3","923.1","745","327.481"
"271","2","1","0","7","1448.2","945","651.690"
"273","2","2","0","3","628.7","1518","454.460"
"697","1","1","0","3","729.8","1891","657.168"
"713","1","1","0","3","1323.5","7847","4945.478"
"718","2","1","0","3","2334.7","1891","2102.342"
"781","1","1","0","2","177.4","1518","128.235"
"781","2","1","0","11","177.4","1125","95.036"
"900","1","2","0","2","137.7","945","61.965"
"930","1","2","0","4","2849.4","1125","1526.464"
"452","1","1","0","3","2319.2","945","1043.640"
"722","2","1","0","3","3486.3","1218","2022.054"
"722","4","1","0","2","1830.9","945","823.905"
"722","5","1","0","2","1553.5","358","264.835"
"767","1","1","0","3","1612.2","545","418.404"
"880","1","1","0","3","1376.4","358","234.643"
"880","2","1","0","11","338.0","745","119.910"
