"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"270","3","1","0","3","2152.8","222","227.582"
"273","1","1","0","3","1783.0","1518","1288.854"
"273","2","1","0","11","538.7","1218","312.446"
"273","3","1","0","11","227.8","1518","164.667"
"273","4","1","0","11","1371.2","0","0.000"
"277","2","1","0","8","0.0","0","0.000"
"292","1","1","0","7","1326.2","945","596.790"
"292","2","1","0","7","1444.6","7847","5397.989"
"292","3","1","0","7","990.9","0","0.000"
"307","1","1","0","3","1518.0","945","683.100"
"307","2","1","0","11","126.2","1125","67.607"
"307","3","1","0","11","326.9","0","0.000"
"321","1","1","0","11","191.3","545","49.647"
"348","1","1","0","3","1313.5","1218","761.830"
"360","1","1","0","11","0.0","222","0.000"
"361","1","1","0","11","1386.2","745","491.771"
"366","1","1","0","11","0.0","109","0.000"
"372","2","1","0","11","438.6","0","0.000"
"379","2","1","0","8","0.0","7847","0.000"
"379","3","1","0","8","0.0","1125","0.000"
"383","2","1","0","11","401.7","1891","361.721"
"386","2","1","0","1","1851.7","7847","6919.186"
"389","2","1","0","3","887.9","1891","799.533"
"396","1","1","0","2","1569.4","109","81.459"
"400","4","1","0","11","301.7","1125","161.625"
"401","2","1","0","3","1420.9","1125","761.196"
"401","3","1","0","3","1218.5","545","316.230"
"401","4","1","0","3","1208.7","0","0.000"
"414","1","1","0","3","1861.9","745","660.531"
"414","2","1","0","11","116.1","1518","83.924"
"416","2","1","0","11","1549.0","1218","898.420"
"419","4","1","0","2","1535.9","0","0.000"
"419","7","1","0","2","1394.2","0","0.000"
"424","2","1","0","3","1183.6","545","307.172"
"531","1","1","0","2","1398.5","7847","5225.728"
"531","3","1","0","2","442.1","0","0.000"
"653","3","1","0","8","0.0","0","0.000"
"661","1","1","0","3","1908.6","222","201.766"
"661","3","1","0","11","1611.9","0","0.000"
"664","3","1","0","11","243.8","545","63.272"
"665","1","1","0","1","1939.5","1518","1401.981"
"684","3","1","0","1","857.7","0","0.000"
"698","1","1","0","11","1322.8","358","225.506"
"714","1","1","0","7","546.8","745","193.984"
"720","3","1","0","3","2071.9","945","932.355"
"754","23","1","0","3","426.5","745","151.306"
"770","2","1","0","11","1434.4","222","151.637"
"776","1","1","0","11","152.1","109","7.895"
"777","2","1","0","11","1625.2","745","576.559"
"798","1","1","0","8","0.0","1125","0.000"
"798","2","1","0","8","0.0","1125","0.000"
"798","3","1","0","8","0.0","0","0.000"
"811","1","1","0","7","1623.4","358","276.751"
"817","1","1","0","8","0.0","1125","0.000"
"817","2","1","0","8","0.0","1125","0.000"
"817","3","1","0","8","0.0","0","0.000"
"828","3","1","0","8","0.0","0","0.000"
"282","2","1","0","3","451.4","1891","406.475"
"794","1","1","0","3","2064.5","1218","1197.410"
"534","2","1","0","3","293.2","745","104.016"
"663","3","1","0","3","1962.6","745","696.256"
"853","1","1","0","3","1009.2","1125","540.643"
"387","2","1","0","3","767.7","1518","554.937"
"457","1","1","0","3","1387.7","1218","804.866"
"535","2","1","0","3","1184.5","1891","1066.614"
"752","3","1","0","3","1786.2","1125","956.893"
"663","3","2","0","3","3379.4","745","1198.882"
"278","2","1","0","3","1565.1","1125","838.446"
"535","1","1","0","3","3394.9","945","1527.705"
"742","3","1","0","3","3032.8","1125","1624.714"
