TZ 06,1 BD,2 BD,3 BD,4 BD
270,395,451,239,70
276,183,265,92,33
277,154,154,28,10
278,352,295,83,19
283,11,4,0,0
284,75,88,58,45
285,237,395,152,49
287,60,92,53,32
288,20,38,23,11
292,144,240,232,123
294,118,214,199,164
508,268,395,294,273
509,648,644,364,154
510,201,243,148,99
511,382,340,207,131
512,441,493,244,168
513,255,294,202,137
515,471,481,197,114
516,700,657,312,142
517,306,346,205,142
518,425,533,313,203
519,115,146,118,95
520,48,50,56,58
521,504,544,297,118
522,211,313,174,83
523,434,542,269,133
524,69,81,99,113
525,342,440,400,212
526,431,620,451,198
527,53,48,57,58
528,481,576,372,232
529,565,513,241,101
530,133,220,206,152
531,852,807,324,132
532,318,272,322,237
533,66,88,80,70
534,65,77,97,97
535,114,142,138,114
536,581,406,236,234
537,338,519,331,149
538,180,272,220,163
539,84,130,140,151
540,317,384,368,286
541,191,246,225,165
542,179,207,221,134
543,371,376,232,201
544,189,142,103,91
545,522,402,252,118
546,331,380,170,78
547,297,322,187,99
548,284,172,169,178
549,88,130,137,136
550,206,236,213,191
551,142,216,238,251
552,33,54,64,59
554,268,362,372,382
555,359,270,243,192
557,231,176,183,198
558,40,63,76,66
