TZ 06,1 BD,2 BD,3 BD,4 BD
270,423,484,256,75
276,197,284,99,36
277,166,166,30,10
278,377,316,89,21
283,11,5,0,0
284,80,94,62,48
285,254,423,163,53
287,64,99,56,34
288,22,40,24,11
292,154,258,248,132
294,126,230,214,176
508,287,423,315,293
509,695,691,390,166
510,215,261,159,106
511,409,365,222,140
512,473,529,262,181
513,274,315,216,147
515,505,516,212,122
516,751,705,335,152
517,328,371,220,152
518,455,571,336,217
519,123,156,126,102
520,52,54,60,62
521,540,583,319,126
522,227,336,186,89
523,466,581,289,143
524,74,87,106,121
525,367,471,429,228
526,462,665,484,213
527,56,52,61,62
528,516,617,399,248
529,606,550,259,108
530,143,236,221,163
531,914,866,347,141
532,342,292,345,254
533,71,94,86,75
534,70,83,103,103
535,122,152,148,122
536,623,436,253,251
537,362,557,355,160
538,193,292,236,175
539,90,139,151,162
540,340,412,394,307
541,205,263,241,177
542,192,222,237,144
543,398,404,248,215
544,202,152,110,98
545,560,431,270,126
546,355,407,183,84
547,319,345,200,106
548,305,184,182,191
549,94,139,147,146
550,221,253,229,205
551,152,231,255,269
552,36,57,69,63
554,287,389,399,409
555,385,290,261,206
557,247,189,197,213
558,43,68,82,71
