TZ 06,1 BD,2 BD,3 BD,4 BD
270,381,436,231,67
276,177,256,89,32
277,149,149,27,9
278,340,285,80,19
283,10,4,0,0
284,72,85,56,43
285,229,381,147,48
287,58,89,51,31
288,20,36,22,10
292,139,232,224,119
294,114,207,193,158
508,259,381,284,264
509,625,622,351,149
510,194,235,143,95
511,369,328,200,126
512,426,476,236,163
513,246,284,195,133
515,455,465,191,110
516,676,635,301,137
517,295,334,198,137
518,410,515,302,196
519,111,141,114,92
520,47,49,54,56
521,487,525,287,114
522,204,302,168,80
523,419,523,260,128
524,66,79,95,109
525,330,425,386,205
526,416,599,436,192
527,51,47,55,56
528,465,556,359,224
529,546,495,233,97
530,128,212,199,147
531,823,780,313,127
532,308,263,311,229
533,64,85,78,67
534,63,75,93,93
535,110,137,134,110
536,561,392,228,226
537,326,501,320,144
538,174,263,212,157
539,81,125,136,146
540,307,371,355,276
541,184,237,217,159
542,173,200,213,129
543,358,363,224,194
544,182,137,99,88
545,504,388,243,114
546,320,367,165,76
547,287,311,180,95
548,274,166,164,172
549,85,125,133,132
550,199,228,206,184
551,137,208,230,242
552,32,52,62,57
554,259,350,359,369
555,347,261,235,185
557,223,170,177,192
558,38,61,74,64
