TZ 06,1 BD,2 BD,3 BD,4 BD
270,407,465,246,72
276,189,273,95,34
277,159,159,29,10
278,362,304,85,20
283,11,4,0,0
284,77,91,60,46
285,244,407,157,51
287,62,95,54,33
288,21,39,23,11
292,148,247,239,127
294,122,221,206,169
508,276,407,303,282
509,667,664,375,159
510,207,251,152,102
511,393,350,213,135
512,454,508,252,173
513,263,303,208,141
515,485,496,203,117
516,721,677,322,146
517,315,357,211,146
518,438,549,323,209
519,118,150,122,98
520,50,52,57,60
521,519,560,306,122
522,218,323,179,85
523,447,558,277,137
524,71,84,102,116
525,352,453,412,219
526,444,639,465,204
527,54,50,59,60
528,496,593,383,239
529,582,528,249,104
530,137,227,212,157
531,878,832,334,136
532,328,281,331,244
533,69,91,83,72
534,67,80,99,99
535,117,146,143,117
536,599,419,243,241
537,348,535,341,154
538,186,281,227,168
539,86,134,145,156
540,327,396,379,295
541,197,253,232,170
542,185,213,228,138
543,382,388,239,207
544,194,146,106,94
545,538,414,260,122
546,341,391,176,81
547,306,331,192,102
548,293,177,175,183
549,91,134,141,140
550,212,243,220,197
551,146,222,245,259
552,34,55,66,61
554,276,373,383,393
555,370,278,251,198
557,238,181,189,204
558,41,65,78,69
