TZ 06,1 BD,2 BD,3 BD,4 BD
270,405,463,245,71
276,188,272,95,34
277,158,158,29,10
278,361,302,85,20
283,11,4,0,0
284,77,90,59,46
285,243,405,156,51
287,62,95,54,33
288,21,38,23,11
292,147,246,237,126
294,121,220,204,168
508,275,405,301,280
509,664,661,373,158
510,206,250,152,101
511,391,349,212,134
512,452,506,251,173
513,262,301,207,141
515,483,494,202,117
516,718,674,320,145
517,313,355,210,145
518,435,546,321,208
519,118,150,121,98
520,49,52,57,59
521,517,557,305,121
522,217,321,178,85
523,445,555,276,136
524,70,84,101,115
525,351,451,410,218
526,442,635,463,203
527,54,49,58,59
528,494,590,381,237
529,579,526,247,103
530,136,225,211,156
531,874,828,332,135
532,327,279,330,243
533,68,90,82,71
534,67,79,99,99
535,117,145,142,117
536,596,417,242,240
537,346,532,340,153
538,185,279,225,167
539,86,133,144,155
540,325,394,377,294
541,196,252,231,169
542,184,212,226,137
543,380,386,237,206
544,193,145,106,93
545,535,412,258,121
546,340,389,175,80
547,305,330,191,101
548,291,176,174,183
549,90,133,141,140
550,211,242,219,196
551,145,221,244,257
552,34,55,66,60
554,275,372,381,391
555,368,277,250,197
557,236,180,188,203
558,41,65,78,68
