TZ 06,1 BD,2 BD,3 BD,4 BD
270,372,425,225,66
276,173,249,87,31
277,145,145,26,9
278,331,278,78,18
283,10,4,0,0
284,71,83,55,42
285,223,372,143,46
287,57,87,49,30
288,19,35,21,10
292,135,226,218,116
294,111,202,188,155
508,253,372,277,258
509,610,607,342,145
510,189,229,139,93
511,360,320,195,123
512,415,465,230,159
513,240,277,190,129
515,443,454,186,107
516,660,619,294,133
517,288,326,193,133
518,400,502,295,191
519,108,137,111,90
520,45,47,53,55
521,475,512,280,111
522,199,295,164,78
523,409,510,254,125
524,65,77,93,106
525,322,414,377,200
526,406,584,425,187
527,49,45,54,55
528,454,542,350,218
529,532,483,227,95
530,125,207,194,143
531,803,761,305,124
532,300,257,303,223
533,63,83,76,66
534,62,73,91,91
535,107,133,130,107
536,547,383,222,220
537,318,489,312,140
538,170,257,207,154
539,79,122,132,142
540,299,362,346,270
541,180,231,212,156
542,169,195,208,126
543,349,355,218,189
544,178,133,97,86
545,492,379,237,111
546,312,358,161,74
547,280,303,176,93
548,268,162,160,168
549,83,122,129,128
550,194,222,201,180
551,133,203,224,236
552,31,51,61,56
554,253,341,350,360
555,338,255,229,181
557,217,166,173,187
558,37,60,72,63
