TZ 06,1 BD,2 BD,3 BD,4 BD
270,375,429,227,66
276,174,252,88,32
277,147,147,27,9
278,335,281,79,18
283,10,4,0,0
284,71,84,55,43
285,225,375,145,47
287,57,88,50,31
288,19,36,21,10
292,137,229,220,117
294,112,204,190,156
508,255,375,280,260
509,616,613,346,147
510,191,232,141,94
511,363,323,197,124
512,419,469,233,160
513,243,280,192,131
515,448,458,188,108
516,666,625,297,135
517,291,330,195,135
518,404,507,298,193
519,109,139,112,91
520,46,48,53,55
521,479,517,283,112
522,201,298,165,79
523,413,515,256,126
524,65,78,94,107
525,325,418,381,202
526,410,590,429,189
527,50,46,54,55
528,458,548,354,220
529,538,488,230,96
530,126,209,196,145
531,811,768,308,125
532,303,259,306,225
533,63,84,77,66
534,62,73,92,92
535,108,135,132,108
536,553,387,224,222
537,321,494,315,142
538,171,259,209,155
539,80,123,134,144
540,302,365,350,272
541,182,234,214,157
542,170,197,210,128
543,353,358,220,191
544,180,135,98,87
545,497,383,240,112
546,315,361,162,74
547,283,306,178,94
548,270,163,161,169
549,84,123,131,130
550,196,224,203,182
551,135,205,226,239
552,32,51,61,56
554,255,345,354,363
555,342,257,232,183
557,219,167,174,189
558,38,60,72,63
