TZ 06,1 BD,2 BD,3 BD,4 BD
270,425,487,258,75
276,198,285,99,36
277,166,166,30,10
278,379,318,89,21
283,12,5,0,0
284,81,95,62,49
285,255,425,164,53
287,65,99,57,35
288,22,40,24,12
292,155,259,250,133
294,127,231,215,177
508,289,425,317,295
509,698,695,392,166
510,216,262,159,106
511,411,366,223,141
512,475,532,263,181
513,275,317,217,148
515,507,519,213,122
516,755,708,336,153
517,329,373,221,153
518,458,574,337,218
519,124,157,127,103
520,52,54,60,62
521,543,586,320,127
522,228,337,187,89
523,468,584,290,143
524,74,88,106,121
525,369,474,431,229
526,465,668,487,214
527,57,52,61,62
528,519,621,401,250
529,609,552,260,109
530,143,237,222,164
531,919,870,349,142
532,343,294,347,255
533,72,95,87,75
534,70,83,104,104
535,122,153,149,122
536,626,438,254,252
537,364,559,357,161
538,194,294,237,176
539,90,140,151,163
540,342,414,396,309
541,206,265,243,178
542,193,223,238,144
543,400,406,250,216
544,203,153,111,98
545,563,433,272,127
546,357,409,184,84
547,320,347,201,106
548,306,185,183,192
549,95,140,148,147
550,222,254,230,206
551,153,232,257,270
552,36,58,69,64
554,289,391,401,411
555,387,291,262,207
557,248,190,198,214
558,43,68,82,72
