TZ 06,1 BD,2 BD,3 BD,4 BD
270,415,475,251,73
276,193,278,97,35
277,162,162,29,10
278,370,310,87,20
283,11,5,0,0
284,79,92,61,47
285,249,415,160,52
287,63,97,55,34
288,21,39,24,11
292,151,252,243,130
294,124,225,210,172
508,282,415,309,287
509,681,677,382,162
510,211,256,156,104
511,401,357,218,138
512,463,518,257,177
513,268,309,212,144
515,495,506,207,119
516,736,691,328,149
517,321,364,215,149
518,446,560,329,213
519,121,153,124,100
520,51,53,59,61
521,530,571,312,124
522,222,329,183,87
523,456,569,283,140
524,72,86,104,118
525,360,462,420,223
526,453,651,475,209
527,55,51,60,61
528,506,605,391,243
529,594,539,254,106
530,140,231,216,160
531,896,849,340,139
532,335,286,338,249
533,70,92,85,73
534,69,81,101,101
535,119,149,145,119
536,611,427,248,246
537,355,546,348,157
538,189,286,231,171
539,88,136,148,159
540,334,404,387,301
541,201,258,237,174
542,188,218,232,141
543,390,396,243,211
544,198,149,108,96
545,549,423,265,124
546,348,399,179,82
547,312,338,196,104
548,299,180,178,187
549,92,136,144,143
550,216,248,224,201
551,149,227,250,264
552,35,56,68,62
554,282,381,391,401
555,378,284,256,202
557,242,185,193,209
558,42,67,80,70
