TZ 06,1 BD,2 BD,3 BD,4 BD
270,377,432,229,67
276,175,253,88,32
277,148,148,27,9
278,336,282,79,18
283,10,4,0,0
284,72,84,55,43
285,227,377,146,47
287,57,88,50,31
288,19,36,22,10
292,137,230,221,118
294,113,205,191,157
508,256,377,281,261
509,619,616,348,148
510,192,233,141,94
511,365,325,198,125
512,421,472,234,161
513,244,281,193,131
515,450,460,189,109
516,669,628,298,135
517,292,331,196,135
518,406,510,299,194
519,110,139,113,91
520,46,48,53,55
521,482,520,284,113
522,202,299,166,79
523,415,518,257,127
524,66,78,94,108
525,327,420,382,203
526,412,593,432,190
527,50,46,54,55
528,460,551,356,221
529,540,490,231,96
530,127,210,197,146
531,815,772,310,126
532,304,260,308,227
533,64,84,77,67
534,63,74,92,92
535,109,135,132,109
536,556,389,226,224
537,323,496,317,143
538,172,260,210,156
539,80,124,134,145
540,303,367,352,274
541,182,235,215,158
542,171,198,211,128
543,355,360,221,192
544,180,135,98,87
545,499,384,241,113
546,317,363,163,75
547,284,308,178,94
548,272,164,162,170
549,84,124,131,130
550,197,226,204,182
551,135,206,228,240
552,32,51,62,56
554,256,347,356,365
555,343,258,233,184
557,220,168,175,190
558,38,60,73,64
