TZ 06,1 BD,2 BD,3 BD,4 BD
270,427,489,259,75
276,199,287,100,36
277,167,167,30,10
278,381,319,89,21
283,12,5,0,0
284,81,95,63,49
285,257,427,165,53
287,65,100,57,35
288,22,41,24,12
292,156,260,251,134
294,128,232,216,178
508,290,427,318,296
509,701,698,394,167
510,217,264,160,107
511,413,368,224,142
512,477,534,265,182
513,276,318,218,149
515,510,521,214,123
516,758,712,338,153
517,331,375,222,153
518,460,577,339,220
519,124,158,128,103
520,52,55,60,63
521,546,589,322,128
522,229,339,188,89
523,470,587,292,144
524,74,88,107,122
525,370,476,433,230
526,467,671,489,215
527,57,52,62,63
528,521,624,403,251
529,612,555,261,109
530,144,238,223,165
531,923,875,351,143
532,345,295,348,257
533,72,95,87,75
534,71,84,105,105
535,123,153,150,123
536,629,440,256,253
537,366,562,359,161
538,195,295,238,177
539,91,141,152,164
540,344,416,398,310
541,207,266,244,179
542,194,224,239,145
543,402,408,251,217
544,204,153,111,99
545,566,436,273,128
546,359,411,185,85
547,322,348,202,107
548,308,186,184,193
549,95,141,149,147
550,223,256,231,207
551,153,233,258,272
552,36,58,70,64
554,290,393,403,413
555,389,293,264,208
557,250,190,199,215
558,43,69,82,72
