TZ 06,1 BD,2 BD,3 BD,4 BD
270,383,438,232,68
276,178,257,90,32
277,150,150,27,9
278,341,286,80,19
283,10,4,0,0
284,73,85,56,44
285,230,383,148,48
287,58,90,51,31
288,20,36,22,10
292,139,233,225,120
294,114,208,194,159
508,260,383,285,265
509,629,625,353,150
510,195,236,144,96
511,370,330,201,127
512,428,479,237,163
513,248,285,196,133
515,457,467,191,110
516,680,638,303,137
517,297,336,199,137
518,412,517,304,197
519,111,142,114,93
520,47,49,54,56
521,489,528,288,114
522,205,304,169,80
523,421,526,261,129
524,67,79,96,109
525,332,427,388,206
526,418,602,438,193
527,51,47,55,56
528,467,559,361,225
529,548,497,234,98
530,129,213,200,148
531,827,784,314,128
532,309,264,312,230
533,65,85,78,68
534,63,75,94,94
535,110,137,134,110
536,564,394,229,227
537,328,504,322,145
538,175,264,213,158
539,81,126,136,147
540,308,373,357,278
541,185,238,219,160
542,174,201,214,130
543,360,365,225,195
544,183,137,100,88
545,507,390,245,114
546,322,368,165,76
547,288,312,181,96
548,276,167,164,173
549,85,126,133,132
550,200,229,207,185
551,137,209,231,244
552,32,52,62,57
554,260,352,361,370
555,349,262,236,186
557,224,171,178,193
558,39,61,74,65
