TZ 06,1 BD,2 BD,3 BD,4 BD
270,403,461,244,71
276,187,270,94,34
277,158,158,28,10
278,359,301,84,20
283,11,4,0,0
284,77,90,59,46
285,242,403,155,50
287,61,94,54,33
288,21,38,23,11
292,147,245,236,126
294,120,219,203,167
508,273,403,300,279
509,661,657,371,158
510,205,248,151,101
511,389,347,211,133
512,450,503,249,172
513,260,300,206,140
515,480,491,201,116
516,714,671,318,144
517,312,353,209,144
518,433,544,319,207
519,117,149,120,97
520,49,51,57,59
521,514,555,303,120
522,216,319,177,84
523,443,552,275,136
524,70,83,101,115
525,349,449,408,217
526,440,632,461,202
527,54,49,58,59
528,491,587,380,236
529,577,523,246,103
530,136,224,210,155
531,870,824,330,135
532,325,278,328,242
533,68,90,82,71
534,67,79,98,98
535,116,144,141,116
536,593,415,241,238
537,345,529,338,152
538,184,278,224,166
539,85,132,143,154
540,324,392,375,292
541,195,251,230,168
542,183,211,225,137
543,378,384,236,205
544,193,144,105,93
545,533,410,257,120
546,338,387,174,80
547,303,328,190,101
548,290,175,173,182
549,90,132,140,139
550,210,241,218,195
551,144,220,243,256
552,34,55,66,60
554,273,370,380,389
555,366,276,248,196
557,235,179,187,202
558,40,65,78,68
