TZ 06,1 BD,2 BD,3 BD,4 BD
270,409,467,248,72
276,190,274,95,34
277,160,160,29,10
278,364,305,86,20
283,11,4,0,0
284,78,91,60,47
285,245,409,158,51
287,62,95,54,33
288,21,39,23,11
292,149,249,240,128
294,122,222,207,170
508,278,409,304,283
509,671,667,376,160
510,208,252,153,102
511,395,352,214,135
512,456,511,253,174
513,264,304,209,142
515,487,499,204,118
516,725,681,323,147
517,316,359,212,147
518,440,552,324,210
519,119,151,122,99
520,50,52,58,60
521,522,563,308,122
522,219,324,180,86
523,450,561,279,138
524,71,84,102,117
525,354,455,414,220
526,446,642,467,205
527,54,50,59,60
528,499,596,385,240
529,585,531,250,104
530,138,228,213,158
531,883,836,335,137
532,330,282,333,245
533,69,91,83,72
534,68,80,100,100
535,118,147,143,118
536,602,421,244,242
537,350,537,343,154
538,187,282,228,169
539,87,134,145,157
540,329,398,381,296
541,198,254,233,171
542,185,214,229,139
543,384,390,240,208
544,195,147,107,94
545,541,416,261,122
546,343,393,177,81
547,308,333,193,102
548,294,178,175,184
549,91,134,142,141
550,213,244,221,198
551,147,223,247,260
552,34,56,67,61
554,278,375,385,395
555,372,280,252,199
557,239,182,190,205
558,41,66,79,69
