TZ 06,1 BD,2 BD,3 BD,4 BD
270,374,427,226,66
276,174,251,87,31
277,146,146,26,9
278,333,279,78,18
283,10,4,0,0
284,71,83,55,43
285,224,374,144,47
287,57,87,50,30
288,19,36,21,10
292,136,227,219,117
294,112,203,189,155
508,254,374,278,259
509,613,610,344,146
510,190,230,140,93
511,361,322,196,124
512,417,467,231,159
513,242,278,191,130
515,446,456,187,108
516,663,622,295,134
517,289,328,194,134
518,402,504,296,192
519,109,138,112,90
520,46,48,53,55
521,477,515,281,112
522,200,296,164,78
523,411,513,255,126
524,65,77,93,107
525,324,416,379,201
526,408,587,427,188
527,50,46,54,55
528,456,545,352,219
529,535,485,228,95
530,126,208,195,144
531,807,764,307,125
532,301,258,305,224
533,63,83,76,66
534,62,73,91,91
535,108,134,131,108
536,550,385,223,221
537,320,491,314,141
538,171,258,208,154
539,79,123,133,143
540,300,363,348,271
541,181,232,213,156
542,170,196,209,127
543,351,356,219,190
544,179,134,97,86
545,494,381,239,112
546,314,359,161,74
547,281,305,177,93
548,269,162,160,169
549,83,123,130,129
550,195,223,202,181
551,134,204,225,238
552,31,51,61,56
554,254,343,352,361
555,340,256,230,182
557,218,166,174,188
558,38,60,72,63
