TZ 06,1 BD,2 BD,3 BD,4 BD
270,399,456,242,70
276,185,268,93,34
277,156,156,28,10
278,355,298,83,19
283,11,4,0,0
284,76,89,58,45
285,239,399,154,50
287,61,93,53,32
288,21,38,23,11
292,145,243,234,125
294,119,217,201,166
508,271,399,297,276
509,654,651,367,156
510,203,246,149,100
511,386,343,209,132
512,445,498,247,170
513,258,297,204,139
515,475,486,199,115
516,707,664,315,143
517,309,350,207,143
518,429,538,316,205
519,116,147,119,96
520,49,51,56,58
521,509,549,300,119
522,213,316,175,83
523,439,547,272,134
524,69,82,100,114
525,345,444,404,214
526,435,626,456,200
527,53,49,57,58
528,486,582,376,234
529,571,518,244,102
530,134,222,208,154
531,861,816,327,133
532,322,275,325,239
533,67,89,81,70
534,66,78,97,97
535,115,143,140,115
536,587,410,238,236
537,341,524,335,151
538,182,275,222,165
539,84,131,142,153
540,321,388,371,289
541,193,248,227,167
542,181,209,223,135
543,375,380,234,203
544,191,143,104,92
545,527,406,255,119
546,335,383,172,79
547,300,325,188,100
548,287,173,171,180
549,89,131,139,138
550,208,238,216,193
551,143,218,240,253
552,34,54,65,60
554,271,366,376,386
555,363,273,246,194
557,233,178,185,200
558,40,64,77,67
