TZ 06,1 BD,2 BD,3 BD,4 BD
270,393,449,238,69
276,182,264,92,33
277,154,154,28,10
278,350,293,82,19
283,11,4,0,0
284,75,87,58,45
285,236,393,152,49
287,60,92,52,32
288,20,37,22,11
292,143,239,230,123
294,117,213,198,163
508,267,393,292,272
509,644,641,362,154
510,200,242,147,98
511,380,338,206,130
512,439,491,243,168
513,254,292,201,137
515,468,479,196,113
516,697,654,310,141
517,304,345,204,141
518,423,530,312,202
519,114,145,117,95
520,48,50,55,58
521,501,541,296,117
522,210,312,173,82
523,432,539,268,132
524,68,81,98,112
525,340,437,398,211
526,429,617,449,197
527,52,48,57,58
528,479,573,370,230
529,562,510,240,100
530,132,219,205,152
531,848,803,322,131
532,317,271,320,236
533,66,87,80,69
534,65,77,96,96
535,113,141,138,113
536,578,404,235,233
537,336,516,330,148
538,179,271,219,162
539,83,129,140,150
540,316,382,366,285
541,190,244,224,164
542,178,206,220,133
543,369,375,230,200
544,188,141,102,91
545,520,400,251,117
546,330,378,170,78
547,296,320,186,98
548,283,171,169,177
549,87,129,137,136
550,205,235,212,190
551,141,214,237,250
552,33,53,64,59
554,267,361,370,380
555,357,269,242,191
557,229,175,182,197
558,39,63,76,66
