TZ 06,1 BD,2 BD,3 BD,4 BD
270,397,454,240,70
276,184,266,93,33
277,155,155,28,10
278,353,296,83,19
283,11,4,0,0
284,75,88,58,45
285,238,397,153,50
287,60,93,53,32
288,20,38,23,11
292,144,241,233,124
294,119,216,200,165
508,269,397,295,275
509,651,648,365,155
510,202,245,149,99
511,384,342,208,131
512,443,496,246,169
513,256,295,203,138
515,473,484,198,114
516,704,661,314,142
517,307,348,206,142
518,427,536,315,204
519,115,147,119,96
520,48,51,56,58
521,507,546,299,119
522,212,315,175,83
523,436,544,270,134
524,69,82,99,113
525,344,442,402,213
526,433,623,454,199
527,53,48,57,58
528,484,579,374,233
529,568,515,242,101
530,134,221,207,153
531,857,811,325,133
532,320,274,323,238
533,67,88,81,70
534,66,78,97,97
535,114,142,139,114
536,584,408,237,235
537,339,522,333,150
538,181,274,221,164
539,84,130,141,152
540,319,386,370,288
541,192,247,226,166
542,180,208,222,135
543,373,378,233,202
544,190,142,103,92
545,525,404,253,119
546,333,381,171,79
547,299,323,188,99
548,286,172,170,179
549,88,130,138,137
550,207,237,214,192
551,142,217,239,252
552,33,54,65,59
554,269,364,374,384
555,361,272,245,193
557,232,177,184,199
558,40,64,77,67
