TZ 06,1 BD,2 BD,3 BD,4 BD
270,370,423,224,65
276,172,248,86,31
277,145,145,26,9
278,330,276,77,18
283,10,4,0,0
284,70,82,54,42
285,222,370,143,46
287,56,86,49,30
288,19,35,21,10
292,135,225,217,116
294,111,201,187,154
508,251,370,275,256
509,607,604,341,145
510,188,228,139,92
511,358,319,194,123
512,413,462,229,158
513,239,275,189,129
515,441,451,185,107
516,656,616,292,133
517,286,325,192,133
518,398,499,293,190
519,108,137,111,89
520,45,47,52,54
521,472,510,278,111
522,198,293,163,77
523,407,508,252,125
524,64,76,92,106
525,321,412,375,199
526,404,581,423,186
527,49,45,53,54
528,451,540,349,217
529,530,480,226,94
530,125,206,193,143
531,799,757,304,124
532,298,255,301,222
533,62,82,75,65
534,61,72,90,90
535,107,133,130,107
536,545,381,221,219
537,317,486,311,140
538,169,255,206,153
539,78,122,132,142
540,297,360,345,268
541,179,230,211,155
542,168,194,207,126
543,348,353,217,188
544,177,133,96,85
545,489,377,236,111
546,311,356,160,73
547,278,301,175,92
548,266,161,159,167
549,82,122,129,128
550,193,221,200,179
551,133,202,223,235
552,31,50,60,55
554,251,340,349,358
555,337,253,228,180
557,216,165,172,186
558,37,59,71,62
