TZ 06,1 BD,2 BD,3 BD,4 BD
270,419,479,254,74
276,195,281,98,35
277,164,164,30,10
278,373,313,88,20
283,11,5,0,0
284,80,93,61,48
285,252,419,162,52
287,64,98,56,34
288,22,40,24,11
292,153,255,246,131
294,125,228,212,174
508,285,419,312,290
509,688,684,386,164
510,213,258,157,105
511,405,361,220,139
512,468,524,260,179
513,271,312,214,146
515,500,511,209,121
516,743,698,331,150
517,324,368,217,150
518,451,566,332,215
519,122,155,125,101
520,51,54,59,61
521,535,577,315,125
522,224,332,184,88
523,461,575,286,141
524,73,87,105,120
525,363,467,425,225
526,458,658,479,211
527,56,51,60,61
528,511,611,395,246
529,600,544,256,107
530,141,233,219,162
531,905,857,344,140
532,338,289,342,252
533,71,93,85,74
534,69,82,102,102
535,121,150,147,121
536,617,431,250,248
537,359,551,352,158
538,191,289,233,173
539,89,138,149,161
540,337,408,390,304
541,203,261,239,175
542,190,220,235,142
543,394,400,246,213
544,200,150,109,97
545,554,427,268,125
546,352,403,181,83
547,315,342,198,105
548,302,182,180,189
549,93,138,146,145
550,219,250,227,203
551,150,229,253,266
552,35,57,68,63
554,285,385,395,405
555,381,287,258,204
557,245,187,195,211
558,42,67,81,71
