TZ 06,1 BD,2 BD,3 BD,4 BD
270,413,472,250,73
276,192,277,96,35
277,162,162,29,10
278,368,308,86,20
283,11,4,0,0
284,79,92,61,47
285,248,413,159,52
287,63,96,55,34
288,21,39,24,11
292,150,251,242,129
294,123,224,209,172
508,280,413,307,286
509,677,674,380,162
510,210,255,155,103
511,399,356,216,137
512,461,516,256,176
513,267,307,211,144
515,492,504,206,119
516,732,688,326,148
517,320,362,214,148
518,444,557,327,212
519,120,153,123,100
520,50,53,58,61
521,527,569,311,123
522,221,327,182,86
523,454,566,282,139
524,72,85,103,118
525,358,460,418,222
526,451,648,472,207
527,55,50,59,61
528,504,602,389,242
529,591,536,252,105
530,139,230,215,159
531,892,845,339,138
532,333,285,336,248
533,70,92,84,73
534,68,81,101,101
535,119,148,145,119
536,608,425,247,244
537,353,543,347,156
538,188,285,230,170
539,87,136,147,158
540,332,402,385,299
541,200,257,236,173
542,187,216,231,140
543,388,394,242,210
544,197,148,108,95
545,546,421,264,123
546,347,397,178,82
547,311,336,195,103
548,297,179,177,186
549,92,136,144,142
550,215,247,223,200
551,148,225,249,262
552,35,56,67,62
554,280,379,389,399
555,376,283,255,201
557,241,184,192,207
558,41,66,80,70
