2020017,6243998,333090
2020018,6244290,333139
2020019,6244487,333169
2064050,6256671,332221
2020080,6244808,333219
2020013,6245035,333256
2064015,6256478,331870
2015019,6245374,333501
2015080,6245628,333604
2064029,6256357,331976
2064030,6256166,332141
2015021,6245835,333661
2015022,6246035,333715
2065094,6255938,332275
2018051,6246329,334007
2065025,6255876,332652
2017018,6246524,334212
2065023,6255989,332929
2065014,6255888,333217
2065015,6255700,333358
2017050,6246899,334381
2065137,6255456,333546
2017033,6247113,334288
2065138,6255139,333753
2017035,6247228,334306
2060025,6254867,333896
2017036,6247377,334442
2017074,6247536,334560
2017038,6247758,334720
2060052,6254301,334109
2060067,6254107,334226
2017055,6247864,334465
2016024,6248149,334205
2016015,6248405,334065
2010015,6248741,334117
2016016,6248583,334093
2010016,6249058,334167
2000035,6251323,334034
2000133,6251473,334013
2000193,6249288,334270
2000047,6249619,334333
2000041,6250537,334125
2000049,6250015,334386
2000249,6250483,334244
2000055,6250260,334405
2000069,6250367,334370
2000252,6250453,334296
2000074,6249930,334398
2000075,6249750,334379
2010059,6249578,334353
2000141,6250985,333979
2010080,6249255,334308
2000142,6251302,333945
2010081,6249001,334313
2010082,6248671,334296
2016017,6248470,334273
2016025,6248267,334244
2016026,6247983,334204
2016034,6247896,334432
2016041,6247853,334666
2017042,6247620,334651
2060012,6254029,334107
2017075,6247263,334369
2060013,6254203,334068
2017034,6247121,334335
2060028,6254604,333921
2060090,6254474,333966
2017044,6246989,334446
2060029,6254829,333855
2017045,6246802,334359
2065133,6255148,333686
2017031,6246408,334183
2065024,6255542,333422
2065134,6255433,333504
2018084,6246312,333999
2065012,6255639,333343
2018011,6246032,333730
2065013,6255934,333076
2065135,6255903,332817
2018012,6245893,333693
2018013,6245591,333615
2065028,6255783,332539
2065029,6255906,332236
2064049,6256478,331915
2065136,6256169,332074
2018014,6245248,333434
2018015,6245126,333318
2018016,6244947,333261
2018017,6244839,333244
2018018,6244675,333223
2020033,6244386,333175
2020024,6244221,333149
