1,327018,6236218,556
2,327044,6236205,556
3,327028,6236211,556
4,327017,6236216,556
5,327018,6236322,556
6,327005,6236296,556
7,327996,6235923,556
8,327990,6235927,556
9,327256,6236662,556
10,327229,6236676,556
11,327287,6237082,556
12,327294,6237093,556
13,327469,6237098,556
14,327445,6237112,556
15,327307,6237197,556
16,327314,6237177,556
17,327618,6237403,556
18,327592,6237419,556
19,327387,6236976,556
20,327415,6236965,556
21,328841,6237027,556
22,328837,6237041,556
23,336901,6237882,557
24,336876,6237892,557
25,336986,6238083,557
26,336967,6238092,557
27,337068,6238288,557
28,337039,6238296,557
29,337136,6238437,557
30,337140,6238408,557
31,337131,6238466,557
32,337128,6238468,557
33,337450,6238497,557
34,337458,6238466,557
35,337446,6238513,557
36,337441,6238543,557
37,337766,6238551,558
38,337753,6238575,558
39,337774,6238565,558
40,337793,6238542,558
41,337089,6238567,557
42,337099,6238566,557
43,337860,6238704,558
44,337830,6238710,558
45,337799,6238835,557
46,337795,6238813,557
47,337853,6238727,558
48,337883,6238725,558
49,337527,6238660,557
50,337528,6238650,557
51,337681,6238893,557
52,337665,6238869,557
53,337520,6239009,557
54,337504,6238988,557
55,337764,6238969,555
56,337737,6238956,555
57,337645,6239273,554
58,337616,6239269,554
59,337673,6239121,555
60,337703,6239126,555
61,336424,6239599,553
62,336413,6239609,553
63,336545,6239619,553
64,336536,6239600,553
65,327853,6238660,556
66,327883,6238653,556
67,336517,6239678,553
68,336496,6239699,553
69,336004,6239334,553
70,336016,6239359,553
71,337346,6239442,554
72,337320,6239426,554
73,338621,6239181,555
74,338616,6239200,555
75,336667,6239827,553
76,336646,6239848,553
77,337077,6239361,554
78,337106,6239368,554
79,336703,6239989,553
80,336689,6239966,553
81,336613,6240043,553
82,336596,6240030,553
83,336658,6239987,553
84,336682,6240008,553
85,335984,6239967,549
86,336013,6239964,549
87,336321,6240063,549
88,336300,6240032,553
89,336583,6240122,553
90,336553,6240120,553
91,336561,6240143,549
92,336591,6240144,549
93,338397,6240081,555
94,338373,6240065,555
95,337634,6239914,554
96,337665,6239907,554
97,337616,6239915,554
98,337586,6239922,554
99,336596,6240270,549
100,336573,6240275,549
101,338573,6240214,555
102,338554,6240215,555
103,338026,6240367,555
104,338033,6240354,555
105,338187,6240341,555
106,338186,6240339,555
107,337947,6240406,551
108,337969,6240399,551
109,337922,6240414,551
110,337901,6240421,551
111,335788,6240367,549
112,335770,6240343,549
113,335775,6240358,549
114,335795,6240381,549
115,337956,6240558,551
116,337940,6240562,551
117,337977,6240567,551
118,338005,6240562,551
119,338035,6240520,551
120,338056,6240529,551
121,337041,6240169,554
122,337031,6240170,554
123,335269,6240628,5000005
124,335251,6240602,5000005
125,335242,6240613,5000005
126,335260,6240640,5000005
127,327892,6240210,5000005
128,327862,6240210,5000005
129,327877,6240212,5000005
130,327907,6240209,5000005
131,334925,6240758,5000005
132,334914,6240738,5000005
133,335473,6240688,5000005
134,335504,6240678,5000005
135,327831,6240720,5000005
136,327833,6240705,5000005
137,336612,6240529,549
138,336643,6240523,549
139,336899,6240755,550
140,336893,6240749,550
141,336612,6240595,550
142,336579,6240601,549
143,335585,6240818,5000005
144,335574,6240829,5000005
145,336579,6240861,550
146,336564,6240863,550
147,334668,6240865,5000005
148,334658,6240843,5000005
149,335733,6240985,549
150,335752,6240962,549
151,336134,6241292,550
152,336148,6241264,550
153,336548,6241127,550
154,336515,6241127,550
155,336473,6241355,550
156,336473,6241355,550
157,336535,6241109,550
158,336567,6241110,550
159,336539,6241386,550
160,336544,6241364,550
161,336682,6241398,550
162,336678,6241415,550
163,327933,6241121,5000005
164,327903,6241123,5000005
165,336894,6241471,548
166,336902,6241445,548
167,327918,6241123,5000005
168,327949,6241121,5000005
