355,134,388,310,313,233,75,293
555,148,462,458,461,407,175,525
298,91,178,230,232,187,60,164
238,62,141,198,186,136,46,130
294,74,221,237,246,166,81,201
625,270,699,512,590,444,237,764
466,264,1553,632,423,366,127,541
368,139,408,347,307,259,125,413
254,97,184,174,212,182,109,349
700,200,513,601,540,503,208,647
400,143,458,384,327,259,112,344
384,91,288,331,315,227,92,333
493,151,508,529,486,363,154,366
221,90,174,197,171,166,90,237
460,192,417,416,425,376,214,526
312,75,533,479,300,215,100,251
338,102,332,334,312,303,140,463
402,133,212,229,300,280,106,397
305,78,192,225,214,176,78,218
455,138,341,359,363,288,154,342
476,170,292,309,421,359,159,455
148,46,83,96,122,108,41,140
0,0,0,0,0,0,0,0
856,266,458,521,674,587,213,551
554,179,536,668,729,602,289,716
0,0,0,0,0,0,0,0
520,146,233,307,367,334,147,477
332,142,259,268,360,352,184,392
