STREET,ROADTYPE,Name,roadid
AVOCA ST,302,Avoca St,2
BUNDOCK ST,304,Bundock St,8
RAINBOW ST,303,Rainbow St,26
RAINBOW ST,303,Rainbow St,30
ANZAC PDE,302,Anzac Pde,40
ANZAC PDE,302,Anzac Pde,41
STURT L,304,Sturt L,43
STURT ST,304,Sturt St,44
ANZAC PDE,302,Anzac Pde,45
ANZAC PDE,302,Anzac Pde,48
RAINBOW ST,303,Rainbow St,58
RAINBOW ST,303,Rainbow St,61
WALLACE ST,304,Wallace St,62
ANZAC PDE,302,Anzac Pde,63
STURT ST,304,Sturt St,64
AVOCA ST,302,Avoca St,75
RAINBOW ST,303,Rainbow St,222
RAINBOW ST,303,Rainbow St,336
BOTANY ST,303,Botany St,337
BYRD AV,304,Byrd Av,338
MCNAIR AV,304,Mcnair Av,339
BYRD AV,304,Byrd Av,340
MCNAIR AV,304,Mcnair Av,341
STURT ST,304,Sturt St,342
STURT ST,304,Sturt St,343
PATON ST,304,Paton St,344
BOTANY ST,303,Botany St,345
PATON ST,304,Paton St,346
BOTANY ST,303,Botany St,347
ANZAC PDE,302,Anzac Pde,348
STURT ST,304,Sturt St,349
BYRD AV,304,Byrd Av,350
PATON ST,304,Paton St,365
ANZAC PDE,302,Anzac Pde,366
STURT ST,304,Sturt St,369
BASS ST,304,Bass St,370
ANZAC PDE,302,Anzac Pde,372
PATON ST,304,Paton St,400
RIGNEY AV,304,Rigney Av,401
RIGNEY AV,304,Rigney Av,402
AVOCA ST,302,Avoca St,403
ANZAC PDE,302,Anzac Pde,412
ROUNDABOUT,302,Roundabout,524
RAINBOW ST,303,Rainbow St,710
RAINBOW ST,303,Rainbow St,711
PATON ST,304,Paton St,864
ANZAC PDE,302,Anzac Pde,935
ANZAC PDE,302,Anzac Pde,946
ANZAC PDE,302,Anzac Pde,947
RAINBOW ST,303,Rainbow St,989
WALLACE L,304,Wallace L,990
WALLACE ST,304,Wallace St,991
ARALUEN ST,304,Araluen St,1327
PATON ST,304,Paton St,1328
ANZAC PDE,302,Anzac Pde,1329
AVOCA ST,302,Avoca St,1483
RIGNEY L,304,Rigney L,1484
RIGNEY L,304,Rigney L,1485
AVOCA ST,302,Avoca St,1624
AVOCA ST,302,Avoca St,1747
AVOCA ST,302,Avoca St,1748
STURT ST,304,Sturt St,1779
AVOCA ST,302,Avoca St,1780
JELLICOE AV,304,Jellicoe Av,1781
JELLICOE AV,304,Jellicoe Av,1782
AVOCA ST,302,Avoca St,1783
AVOCA ST,302,Avoca St,1800
AVOCA ST,302,Avoca St,1801
AVOCA ST,302,Avoca St,1819
AVOCA ST,302,Avoca St,1820
ARALUEN ST,304,Araluen St,1821
ARALUEN ST,304,Araluen St,1822
AVOCA ST,302,Avoca St,1823
AVOCA ST,302,Avoca St,1834
AINSLIE ST,304,Ainslie St,1888
AINSLIE ST,304,Ainslie St,1891
BURBONG ST,304,Burbong St,1892
BURBONG ST,304,Burbong St,1893
AVOCA ST,302,Avoca St,1894
AVOCA ST,302,Avoca St,1895
CROSSOVER,302,Crossover,1896
AVOCA ST,302,Avoca St,1897
STURT ST,304,Sturt St,1914
STURT ST,304,Sturt St,1946
BOTANY ST,303,Botany St,1947
STURT ST,304,Sturt St,1948
BOTANY ST,303,Botany St,1949
ROUNDABOUT,303,Roundabout,1950
ROUNDABOUT,303,Roundabout,1951
ROUNDABOUT,303,Roundabout,1952
ROUNDABOUT,303,Roundabout,1991
