STREET,ROADTYPE,Name,roadid
COOPER ST,304,Cooper St,430
MAROUBRA RD,302,Maroubra Rd,431
FLOWER ST,304,Flower St,433
COOPER ST,304,Cooper St,434
FLOWER ST,304,Flower St,436
GALVIN ST,304,Galvin St,437
MOVERLY RD,303,Moverly Rd,439
MOVERLY RD,303,Moverly Rd,440
SNAPE ST,303,Snape St,441
ANZAC PDE,302,Anzac Pde,442
ANZAC PDE,302,Anzac Pde,443
ANZAC PDE,302,Anzac Pde,444
MOVERLY RD,303,Moverly Rd,445
ANZAC PDE,302,Anzac Pde,446
STOREY ST,304,Storey St,469
STOREY ST,304,Storey St,470
STOREY ST,304,Storey St,472
MAROUBRA RD,302,Maroubra Rd,492
MAROUBRA RD,302,Maroubra Rd,500
FLOWER ST,304,Flower St,816
FLOWER ST,304,Flower St,817
FLOWER ST,304,Flower St,822
HENNING AV,304,Henning Av,858
FLOWER ST,304,Flower St,865
JOHNSTON PDE,304,Johnston Pde,886
COOPER ST,304,Cooper St,887
COOPER ST,304,Cooper St,948
ARCHER PL,304,Archer Pl,949
METCALFE ST,304,Metcalfe St,950
COOPER ST,304,Cooper St,951
GALE RD,304,Gale Rd,952
COOPER ST,304,Cooper St,953
ALMA RD,304,Alma Rd,954
COOPER ST,304,Cooper St,955
BOYCE RD,304,Boyce Rd,956
MOVERLY RD,303,Moverly Rd,1373
LOCH MAREE ST,304,Loch Maree St,1374
GARRETT ST,304,Garrett St,1375
KEATING ST,304,Keating St,1376
METCALFE ST,304,Metcalfe St,1378
ALMA RD,304,Alma Rd,1379
GREEN ST,304,Green St,1380
ROUNDABOUT,303,Roundabout,1741
GARDEN ST,304,Garden St,1752
MOVERLY RD,303,Moverly Rd,1753
ROUNDABOUT,303,Roundabout,1806
COOPER ST,304,Cooper St,1808
MOVERLY RD,303,Moverly Rd,1809
GARDEN ST,304,Garden St,1837
GARDEN ST,304,Garden St,1838
STOREY ST,304,Storey St,1839
ROUNDABOUT,304,Roundabout,1840
ROUNDABOUT,304,Roundabout,1852
ROUNDABOUT,304,Roundabout,1853
COOPER ST,304,Cooper St,1854
ROUNDABOUT,303,Roundabout,1855
ROUNDABOUT,303,Roundabout,1856
HENNING AV,304,Henning Av,1859
MOVERLY RD,303,Moverly Rd,1860
ROUNDABOUT,303,Roundabout,1864
COOPER ST,304,Cooper St,1878
STOREY ST,304,Storey St,1879
STOREY ST,304,Storey St,1880
ROUNDABOUT,304,Roundabout,1881
ROUNDABOUT,304,Roundabout,1882
ROUNDABOUT,304,Roundabout,1883
ROUNDABOUT,304,Roundabout,1933
GARDEN ST,304,Garden St,1934
GALE RD,304,Gale Rd,1936
GARDEN ST,304,Garden St,1937
ROUNDABOUT,304,Roundabout,1938
ROUNDABOUT,304,Roundabout,1954
GARDEN ST,304,Garden St,1977
BOYCE RD,304,Boyce Rd,1978
GARDEN ST,304,Garden St,1979
ROUNDABOUT,304,Roundabout,1981
ROUNDABOUT,304,Roundabout,1982
ROUNDABOUT,304,Roundabout,1992
