STREET,ROADTYPE,Name,roadid
JENNIFER ST,304,Jennifer St,478
BUDD AV,304,Budd Av,479
BUDD AV,304,Budd Av,480
JENNIFER ST,304,Jennifer St,481
DWYER AV,304,Dwyer Av,482
BUDD AV,304,Budd Av,483
DAWES ST,304,Dawes St,484
JENNIFER ST,304,Jennifer St,485
JENNIFER ST,304,Jennifer St,486
JENNIFER ST,304,Jennifer St,487
ANZAC PDE,302,Anzac Pde,525
ANZAC PDE,302,Anzac Pde,526
MARCONI PL,304,Marconi Pl,618
JENNIFER ST,304,Jennifer St,619
JENNIFER ST,304,Jennifer St,718
JENNIFER ST,304,Jennifer St,719
BUS L,307,Bus L,742
ABBE RECEVEUR PL,304,Abbe Receveur Pl,744
GROSE ST,304,Grose St,745
ANZAC PDE,302,Anzac Pde,769
ANZAC PDE,302,Anzac Pde,770
JENNIFER ST,304,Jennifer St,771
ANZAC PDE,302,Anzac Pde,785
RESERVOIR ST,304,Reservoir St,786
DWYER AV,304,Dwyer Av,787
RESERVOIR ST,304,Reservoir St,788
DAWES ST,304,Dawes St,789
RESERVOIR ST,304,Reservoir St,790
RESERVOIR ST,304,Reservoir St,791
GROSE ST,304,Grose St,792
ROAD,304,Road,793
PATH,400,Path,794
ROAD,304,Road,795
ROAD,304,Road,803
ROAD,304,Road,810
DWYER AV,304,Dwyer Av,811
GIPPS AV,304,Gipps Av,812
GROSE ST,304,Grose St,831
ROAD,304,Road,844
CROSSOVER,302,Crossover,868
ANZAC PDE,302,Anzac Pde,869
COAST CEMETERY MANAGEMENT TRL,306,Coast Cemetery Management Trl,888
ROAD,304,Road,889
ANZAC PDE,303,Anzac Pde,1028
ENDEAVOUR AV,304,Endeavour Av,1029
ANZAC PDE,303,Anzac Pde,1036
ANZAC PDE,303,Anzac Pde,1037
ROAD,304,Road,1290
LITTLE BAY RD,303,Little Bay Rd,1415
ANZAC PDE,302,Anzac Pde,1418
ANZAC PDE,303,Anzac Pde,1495
ANZAC PDE,303,Anzac Pde,1534
ANZAC PDE,303,Anzac Pde,1538
ELAROO AV,304,Elaroo Av,1539
PINE AV,304,Pine Av,1712
COAST HOSPITAL RD,304,Coast Hospital Rd,1713
PINE AV,304,Pine Av,2044
ANZAC PDE,302,Anzac Pde,2064
