STREET,ROADTYPE,Name,roadid
RAINBOW ST,304,Rainbow St,980
WOLSELEY RD,304,Wolseley Rd,1034
PEARCE ST,304,Pearce St,1077
DENNING ST,304,Denning St,1078
BEDFORD PL,304,Bedford Pl,1079
MALABAR RD,302,Malabar Rd,1080
MALABAR RD,302,Malabar Rd,1084
CUZCO ST,304,Cuzco St,1085
MALABAR RD,302,Malabar Rd,1087
CUZCO ST,304,Cuzco St,1089
PEARCE ST,304,Pearce St,1111
PEARCE ST,304,Pearce St,1112
CRANA AV,304,Crana Av,1113
WISDOM ST,304,Wisdom St,1114
CLOSE ST,304,Close St,1132
DENNING ST,304,Denning St,1133
PATH,400,Path,1134
BUNYA PDE,304,Bunya Pde,1135
BUNYA PDE,304,Bunya Pde,1460
PALMER ST,304,Palmer St,1461
CLOSE ST,304,Close St,1462
CUZCO ST,304,Cuzco St,1463
SEASIDE PDE,304,Seaside Pde,1464
SEASIDE PDE,304,Seaside Pde,1465
ALEXANDRIA PDE,304,Alexandria Pde,1466
AHERN AV,304,Ahern Av,1467
ALEXANDRIA PDE,304,Alexandria Pde,1468
WISDOM ST,304,Wisdom St,1469
EDGECLIFFE AV,304,Edgecliffe Av,1510
MALABAR RD,302,Malabar Rd,1511
LIGURIA ST,304,Liguria St,1514
CAIRO ST,304,Cairo St,1569
LIGURIA ST,304,Liguria St,1571
GARNET ST,304,Garnet St,1574
CAIRO ST,304,Cairo St,1575
DENNING ST,304,Denning St,1594
ATHOL ST,304,Athol St,1595
MALABAR RD,302,Malabar Rd,1596
DENNING ST,304,Denning St,1597
EVELYN ST,304,Evelyn St,1598
GREENWOOD AV,304,Greenwood Av,1599
MALABAR RD,302,Malabar Rd,1602
BLOOMFIELD ST,304,Bloomfield St,1603
DENNING ST,304,Denning St,1604
EVELYN ST,304,Evelyn St,1605
MALABAR RD,302,Malabar Rd,1606
DENNING ST,304,Denning St,1607
MALABAR RD,302,Malabar Rd,1608
NAPPER ST,304,Napper St,1609
MALABAR RD,302,Malabar Rd,1610
DENNING ST,304,Denning St,1611
GARIE PL,304,Garie Pl,1612
RAINBOW ST,304,Rainbow St,1632
RAINBOW ST,304,Rainbow St,1633
DENNING ST,304,Denning St,1634
ROUNDABOUT,302,Roundabout,1742
MALABAR RD,302,Malabar Rd,1849
ARDEN ST,302,Arden St,1850
