STREET,ROADTYPE,Name,roadid
DUNCAN ST,304,Duncan St,1
FITZGERALD AV,303,Fitzgerald Av,257
MALABAR RD,302,Malabar Rd,258
MONS AV,304,Mons Av,260
MALABAR RD,302,Malabar Rd,261
MALABAR RD,302,Malabar Rd,267
MAROUBA RD,302,Marouba Rd,268
MAROUBRA RD,302,Maroubra Rd,269
MAROUBRA RD,302,Maroubra Rd,270
MAROUBRA RD,302,Maroubra Rd,492
MONS AV,304,Mons Av,493
MONS AV,304,Mons Av,495
MAROUBRA RD,302,Maroubra Rd,496
FLOWER ST,304,Flower St,497
HAIG ST,304,Haig St,498
HAIG ST,304,Haig St,499
MAROUBRA RD,302,Maroubra Rd,500
CILO L,304,Cilo L,501
HAIG ST,304,Haig St,502
MONS AV,304,Mons Av,503
COOPER L,304,Cooper L,504
MONS AV,304,Mons Av,505
HAIG ST,304,Haig St,537
FLOWER L,304,Flower L,538
MONS AV,304,Mons Av,539
MONS AV,304,Mons Av,540
FITZGERALD AV,303,Fitzgerald Av,541
FITZGERALD AV,303,Fitzgerald Av,542
FITZGERALD AV,303,Fitzgerald Av,544
FRENCH L,400,French L,883
MALABAR RD,302,Malabar Rd,902
MAROUBRA RD,302,Maroubra Rd,928
FRENCH ST,304,French St,929
LITTLE ST,304,Little St,930
NICOL AV,304,Nicol Av,931
FRENCH ST,304,French St,932
PATH,400,Path,933
LITTLE ST,304,Little St,934
BYNG ST,304,Byng St,992
BYNG ST,304,Byng St,993
BEATTY ST,304,Beatty St,994
BEATTY ST,304,Beatty St,995
BEATTY L,304,Beatty L,996
BEATTY ST,304,Beatty St,997
KITCHENER ST,304,Kitchener St,998
FITZGERALD AV,303,Fitzgerald Av,999
MALABAR RD,302,Malabar Rd,1021
NICOL AV,304,Nicol Av,1023
NICOL L,304,Nicol L,1024
MALABAR RD,302,Malabar Rd,1025
MALABAR RD,302,Malabar Rd,1259
NICOL L,304,Nicol L,1264
FRENCH ST,304,French St,1600
DUNCAN ST,304,Duncan St,1601
FRENCH ST,304,French St,1613
MONS AV,304,Mons Av,1614
MONS AV,304,Mons Av,1615
KYOGLE ST,304,Kyogle St,1617
CAMIRA ST,304,Camira St,1619
KYOGLE ST,304,Kyogle St,1620
GLENUGIE ST,304,Glenugie St,1621
CAMIRA ST,304,Camira St,1622
FITZGERALD AV,303,Fitzgerald Av,1623
FITZGERALD AV,303,Fitzgerald Av,1698
MALABAR RD,302,Malabar Rd,1990
MALABAR RD,302,Malabar Rd,1995
ROUNDABOUT,302,Roundabout,1997
ROUNDABOUT,302,Roundabout,1998
ROUNDABOUT,302,Roundabout,1999
ROUNDABOUT,302,Roundabout,2001
ANZAC PDE,302,Anzac Pde,2020
ANZAC PDE,302,Anzac Pde,2021
ANZAC PDE,302,Anzac Pde,2023
FITZGERALD AV,303,Fitzgerald Av,2043
FITZGERALD AV,303,Fitzgerald Av,2065
