STREET,ROADTYPE,Name,roadid
PATH,400,Path,195
ELPHINSTONE RD,304,Elphinstone Rd,196
WAUHOPE CR,304,Wauhope Cr,197
MACLEAY ST,304,Macleay St,198
JOHNSTON PDE,304,Johnston Pde,211
JOHNSTON PDE,304,Johnston Pde,212
JOHNSTON PDE,304,Johnston Pde,213
ELPHINSTONE RD,304,Elphinstone Rd,215
YAMBA PL,304,Yamba Pl,216
PATH,400,Path,217
ELPHINSTONE RD,304,Elphinstone Rd,218
ELPHINSTONE RD,304,Elphinstone Rd,219
ILUKA PL,304,Iluka Pl,220
JACARANDA PL,304,Jacaranda Pl,235
MOVERLY RD,303,Moverly Rd,378
TUCABIA ST,304,Tucabia St,531
NYMBOIDA ST,304,Nymboida St,532
TUCABIA ST,304,Tucabia St,533
MOVERLY RD,303,Moverly Rd,534
JACARANDA PL,304,Jacaranda Pl,535
ELPHINSTONE RD,304,Elphinstone Rd,536
JACARANDA PL,304,Jacaranda Pl,551
ROPER AV,304,Roper Av,552
ELPHINSTONE RD,304,Elphinstone Rd,553
ELPHINSTONE RD,304,Elphinstone Rd,554
PHILLIP ST,304,Phillip St,565
TUCABIA ST,304,Tucabia St,566
MACLEAY ST,304,Macleay St,567
TUCABIA ST,304,Tucabia St,568
MOVERLY RD,303,Moverly Rd,569
PATH,400,Path,749
RAINBOW ST,304,Rainbow St,758
RAINBOW ST,304,Rainbow St,759
MARIAN ST,304,Marian St,760
MALABAR RD,303,Malabar Rd,761
BUNDOCK ST,304,Bundock St,773
ELPHINSTONE RD,304,Elphinstone Rd,774
HENDY AV,304,Hendy Av,779
BUNDOCK L,304,Bundock L,780
MALABAR RD,303,Malabar Rd,781
MALABAR RD,303,Malabar Rd,782
HENDY AV,304,Hendy Av,783
BUNDOCK ST,304,Bundock St,784
ELPHINSTONE RD,304,Elphinstone Rd,797
PATH,400,Path,798
PATH,400,Path,799
TALLOW PL,304,Tallow Pl,800
TALLOW PL,304,Tallow Pl,801
LOMANDRA PL,304,Lomandra Pl,802
RAINBOW ST,303,Rainbow St,841
JOHNSTON PDE,304,Johnston Pde,842
RAINBOW ST,303,Rainbow St,876
ELLEN ST,304,Ellen St,877
BUNDOCK L,304,Bundock L,878
PATH,400,Path,890
ELPHINSTONE RD,304,Elphinstone Rd,891
LOMANDRA PL,304,Lomandra Pl,1030
PATH,400,Path,1031
TALLOW PL,304,Tallow Pl,1032
LOMANDRA PL,304,Lomandra Pl,1033
ARGYLE CR,304,Argyle Cr,1038
ARGYLE CR,304,Argyle Cr,1039
ARGYLE CR,304,Argyle Cr,1040
ARGYLE CR,304,Argyle Cr,1041
TALLOW PL,304,Tallow Pl,1042
ASH PL,304,Ash Pl,1043
ASH PL,304,Ash Pl,1044
ASH PL,304,Ash Pl,1045
ARGYLE CR,304,Argyle Cr,1047
CEDAR PL,304,Cedar Pl,1048
CEDAR PL,304,Cedar Pl,1049
CEDAR PL,304,Cedar Pl,1050
GREVILLEA PL,304,Grevillea Pl,1051
GREVILLEA PL,304,Grevillea Pl,1052
CEDAR PL,304,Cedar Pl,1053
CEDAR PL,304,Cedar Pl,1054
GREVILLEA PL,304,Grevillea Pl,1055
ARGYLE CR,304,Argyle Cr,1056
HENNING AV,304,Henning Av,1057
HENNING AV,304,Henning Av,1058
JACARANDA PL,304,Jacaranda Pl,1065
MOVERLY RD,303,Moverly Rd,1066
PATH,400,Path,1074
COLDSTREAM ST,304,Coldstream St,1075
MOVERLY RD,303,Moverly Rd,1076
MALABAR RD,302,Malabar Rd,1080
COLDSTREAM ST,304,Coldstream St,1081
COLDSTREAM ST,304,Coldstream St,1082
NYMBOIDA ST,304,Nymboida St,1083
MALABAR RD,302,Malabar Rd,1084
NYMBOIDA ST,304,Nymboida St,1086
MALABAR RD,302,Malabar Rd,1087
GREGORY ST,304,Gregory St,1088
CUZCO ST,304,Cuzco St,1089
GREGORY ST,304,Gregory St,1103
PATH,400,Path,1250
PATH,400,Path,1251
MOLLOY AV,304,Molloy Av,1265
TUCABIA ST,304,Tucabia St,1266
MOVERLY RD,303,Moverly Rd,1267
BYRNE AV,304,Byrne Av,1268
URALLA PL,304,Uralla Pl,1294
POPPLEWELL PL,304,Popplewell Pl,1346
PATH,400,Path,1406
TUCABIA ST,304,Tucabia St,1407
MOVERLY RD,303,Moverly Rd,1408
MALABAR RD,302,Malabar Rd,1511
MACLEAY ST,304,Macleay St,1512
FOWLER CR,304,Fowler Cr,1513
MALABAR RD,302,Malabar Rd,1515
GREGORY ST,304,Gregory St,1516
PATH,400,Path,1517
JENSEN PL,304,Jensen Pl,1518
MALABAR RD,302,Malabar Rd,1519
FOWLER CR,304,Fowler Cr,1520
FOWLER ST,304,Fowler St,1521
PATH,400,Path,1522
GREGORY ST,304,Gregory St,1551
HARRISON AV,304,Harrison Av,1552
