STREET,ROADTYPE,Name,roadid
BUNNERONG RD,302,Bunnerong Rd,9
BUNNERONG RD,302,Bunnerong Rd,11
BUNNERONG RD,302,Bunnerong Rd,13
ANDERSON ST,304,Anderson St,14
BUNNERONG RD,302,Bunnerong Rd,31
BUNNERONG RD,302,Bunnerong Rd,34
APSLEY AV,304,Apsley Av,37
BUNNERONG RD,302,Bunnerong Rd,38
ANZAC PDE,302,Anzac Pde,40
ANZAC PDE,302,Anzac Pde,41
HAYWARD ST,304,Hayward St,42
JACQUES ST,304,Jacques St,46
HAYWARD ST,304,Hayward St,47
ANZAC PDE,302,Anzac Pde,48
JACQUES ST,304,Jacques St,49
APSLEY L,304,Apsley L,50
JACQUES ST,304,Jacques St,51
ANDERSON ST,304,Anderson St,52
HAYWARD ST,304,Hayward St,53
APSLEY AV,304,Apsley Av,54
APSLEY L,304,Apsley L,55
BOTANY ST,303,Botany St,56
APSLEY L,304,Apsley L,57
ANZAC PDE,302,Anzac Pde,63
STURT ST,304,Sturt St,64
STOREY ST,304,Storey St,87
BUNNERONG RD,302,Bunnerong Rd,89
STOREY ST,304,Storey St,91
STOREY ST,304,Storey St,93
PERCIVAL ST,304,Percival St,96
APSLEY AV,304,Apsley Av,111
ISIS L,304,Isis L,112
BOTANY ST,303,Botany St,113
BOTANY ST,303,Botany St,114
LANCASTER CR,304,Lancaster Cr,115
HINCKS ST,304,Hincks St,116
BOTANY ST,303,Botany St,117
BOTANY ST,303,Botany St,118
BEULAH ST,304,Beulah St,119
BOTANY ST,303,Botany St,120
WALENORE AV,304,Walenore Av,121
BOTANY ST,303,Botany St,122
WALENORE AV,304,Walenore Av,123
MARVILLE AV,304,Marville Av,124
BUNNERONG RD,302,Bunnerong Rd,135
SNAPE ST,303,Snape St,136
PERCIVAL ST,304,Percival St,137
SNAPE ST,303,Snape St,138
SNAPE ST,303,Snape St,139
BUNNERONG RD,302,Bunnerong Rd,141
CHARMAN AV,304,Charman Av,142
BOTANY ST,303,Botany St,143
BUNNERONG RD,302,Bunnerong Rd,145
LEONORA AV,304,Leonora Av,146
BUNNERONG RD,302,Bunnerong Rd,147
STOREY ST,304,Storey St,203
BOTANY ST,303,Botany St,347
ANZAC PDE,302,Anzac Pde,348
ANZAC PDE,302,Anzac Pde,366
BOTANY ST,303,Botany St,367
ANZAC PDE,302,Anzac Pde,368
BASS ST,304,Bass St,371
ANZAC PDE,302,Anzac Pde,372
ANZAC PDE,302,Anzac Pde,373
IRVINE ST,304,Irvine St,374
ANZAC PDE,302,Anzac Pde,404
BUNNERONG RD,302,Bunnerong Rd,408
ANZAC PDE,302,Anzac Pde,412
STOREY ST,304,Storey St,413
SNAPE ST,303,Snape St,441
ANZAC PDE,302,Anzac Pde,442
ANZAC PDE,302,Anzac Pde,443
ROUNDABOUT,302,Roundabout,524
ROUNDABOUT,302,Roundabout,527
ROUNDABOUT,302,Roundabout,530
GARDENERS RD,302,Gardeners Rd,575
ANZAC PDE,302,Anzac Pde,576
ROUNDABOUT,302,Roundabout,605
IRVINE ST,304,Irvine St,689
ANZAC PDE,302,Anzac Pde,690
HINCKS ST,304,Hincks St,691
IRVINE ST,304,Irvine St,692
BUNNERONG RD,302,Bunnerong Rd,693
BROADBENT ST,304,Broadbent St,921
ANZAC PDE,302,Anzac Pde,922
ANZAC PDE,302,Anzac Pde,935
ANZAC PDE,302,Anzac Pde,946
ANZAC PDE,302,Anzac Pde,947
STURT ST,304,Sturt St,959
BUNNERONG RD,302,Bunnerong Rd,960
IRVINE ST,304,Irvine St,1183
BROADBENT ST,304,Broadbent St,1184
IRVINE ST,304,Irvine St,1185
BROADBENT ST,304,Broadbent St,1186
FISCHER L,304,Fischer L,1187
FISCHER ST,304,Fischer St,1299
FISCHER ST,304,Fischer St,1300
IRVINE ST,304,Irvine St,1301
IRVINE ST,304,Irvine St,1302
FISCHER ST,304,Fischer St,1303
PARDEY ST,304,Pardey St,1304
IRVINE ST,304,Irvine St,1305
IRVINE ST,304,Irvine St,1306
SMITH ST,304,Smith St,1307
SMITH ST,304,Smith St,1308
SNAPE ST,303,Snape St,1309
SNAPE ST,303,Snape St,1310
SNAPE ST,303,Snape St,1311
HANNAN ST,304,Hannan St,1312
ANZAC PDE,302,Anzac Pde,1326
ANZAC PDE,302,Anzac Pde,1329
ROUNDABOUT,304,Roundabout,1758
ROUNDABOUT,304,Roundabout,1759
ROUNDABOUT,304,Roundabout,1898
ROUNDABOUT,304,Roundabout,1899
STOREY ST,304,Storey St,1904
STOREY ST,304,Storey St,1905
HANNAN ST,304,Hannan St,2000
ANZAC PDE,302,Anzac Pde,2059
ANZAC PDE,302,Anzac Pde,2060
AVOCA ST,302,Avoca St,2061
ANZAC PDE,302,Anzac Pde,2062
WALLACE ST,304,Wallace St,2063
RUNIC L,304,Runic L,2088
RUNIC L,304,Runic L,2089
HANNAN L,304,Hannan L,2090
