STREET,ROADTYPE,Name,roadid
BAIRD AV,304,Baird Av,81
BEAUCHAMP RD,302,Beauchamp Rd,82
JENNINGS ST,304,Jennings St,83
BEAUCHAMP RD,302,Beauchamp Rd,84
BEAUCHAMP RD,302,Beauchamp Rd,95
SOLANDER ST,304,Solander St,281
PERRY ST,303,Perry St,283
PERRY ST,303,Perry St,284
DAUNT AV,303,Daunt Av,288
PATERSON ST,304,Paterson St,289
BAIRD AV,304,Baird Av,290
BAIRD L,304,Baird L,295
BAIRD AV,304,Baird Av,296
BAIRD L,304,Baird L,297
PERRY ST,303,Perry St,303
HUNTER AV,304,Hunter Av,304
NORFOLK PDE,304,Norfolk Pde,305
FRANKLIN ST,303,Franklin St,306
BAIRD L,304,Baird L,313
BAIRD AV,304,Baird Av,314
DAUNT AV,303,Daunt Av,327
BEAUCHAMP RD,302,Beauchamp Rd,687
STEWART ST,304,Stewart St,688
STEWART ST,304,Stewart St,712
MILNE AV,304,Milne Av,713
MILNE AV,304,Milne Av,714
BAIRD L,304,Baird L,715
PATERSON ST,304,Paterson St,1192
PILLARS PL,304,Pillars Pl,1193
PATERSON ST,304,Paterson St,1243
PATERSON ST,304,Paterson St,1318
HUNTER AV,304,Hunter Av,1320
CLARENCE ST,304,Clarence St,1321
FRANKLIN ST,303,Franklin St,1322
FRANKLIN ST,303,Franklin St,1323
WATERTON AV,304,Waterton Av,1324
POULET ST,304,Poulet St,1474
POULET ST,304,Poulet St,1475
BUNNERONG RD,302,Bunnerong Rd,1769
BUNNERONG RD,302,Bunnerong Rd,1770
BUNNERONG RD,302,Bunnerong Rd,1771
HAROLD ST,304,Harold St,1788
BEAUCHAMP RD,302,Beauchamp Rd,1789
AUSTRALIA AV,304,Australia Av,1792
BUNNERONG RD,302,Bunnerong Rd,1793
BUNNERONG RD,302,Bunnerong Rd,1796
BUNNERONG RD,302,Bunnerong Rd,1907
BUNNERONG RD,302,Bunnerong Rd,1908
BUNNERONG RD,302,Bunnerong Rd,1909
BUNNERONG RD,302,Bunnerong Rd,1910
KEMP AV,304,Kemp Av,1972
PERRY ST,303,Perry St,1973
DAUNT AV,303,Daunt Av,1974
BUNNERONG RD,302,Bunnerong Rd,2004
BEAUCHAMP RD,302,Beauchamp Rd,2005
JERSEY RD,304,Jersey Rd,2006
BEAUCHAMP RD,302,Beauchamp Rd,2019
BEAUCHAMP RD,999,Beauchamp Rd,2027
FRANKLIN ST,303,Franklin St,2029
FRANKLIN ST,303,Franklin St,2030
NORFOLK L,304,Norfolk L,2031
KEMP AV,304,Kemp Av,2050
DAUNT AV,303,Daunt Av,2051
HAROLD ST,304,Harold St,2053
PERRY ST,303,Perry St,2054
BUNNERONG RD,302,Bunnerong Rd,2082
BUNNERONG RD,302,Bunnerong Rd,2083
JERSEY L,304,Jersey L,2084
