STREET,ROADTYPE,Name,roadid
BUNDOCK ST,304,Bundock St,7
BUNDOCK ST,304,Bundock St,8
AVOCA ST,302,Avoca St,75
AVOCA ST,302,Avoca St,403
ANZAC PDE,302,Anzac Pde,404
HOLMES ST,304,Holmes St,405
BENVENUE ST,304,Benvenue St,406
HOLMES ST,304,Holmes St,407
IAN ST,304,Ian St,438
MOVERLY RD,303,Moverly Rd,439
MOVERLY RD,303,Moverly Rd,440
MOVERLY RD,303,Moverly Rd,445
BUNDOCK L,304,Bundock L,694
RAINBOW ST,303,Rainbow St,863
BENVENUE ST,304,Benvenue St,923
HOLMES ST,304,Holmes St,924
CANBERRA ST,304,Canberra St,1361
LOCH MAREE ST,304,Loch Maree St,1363
GARRETT ST,304,Garrett St,1364
GARDEN ST,304,Garden St,1365
GARDEN ST,304,Garden St,1367
HOLMES ST,304,Holmes St,1368
LOCH MAREE ST,304,Loch Maree St,1369
HOLMES ST,304,Holmes St,1370
GARRETT ST,304,Garrett St,1371
MOVERLY RD,303,Moverly Rd,1373
AVOCA ST,302,Avoca St,1482
RIGNEY L,304,Rigney L,1485
RAINBOW ST,303,Rainbow St,1616
AVOCA ST,302,Avoca St,1618
CANBERRA ST,304,Canberra St,1737
ROUNDABOUT,303,Roundabout,1740
AVOCA ST,302,Avoca St,1746
AVOCA ST,302,Avoca St,1747
GARDEN ST,304,Garden St,1751
MOVERLY RD,303,Moverly Rd,1753
JELLICOE AV,304,Jellicoe Av,1782
AVOCA ST,302,Avoca St,1783
RAINBOW ST,303,Rainbow St,1802
ROUNDABOUT,303,Roundabout,1806
AVOCA ST,302,Avoca St,1819
ARALUEN ST,304,Araluen St,1822
AVOCA ST,302,Avoca St,1823
AVOCA ST,302,Avoca St,1894
CROSSOVER,302,Crossover,1896
AVOCA ST,302,Avoca St,1897
STURT ST,304,Sturt St,1914
AVOCA ST,302,Avoca St,1917
ROUNDABOUT,303,Roundabout,1945
ROUNDABOUT,303,Roundabout,1994
