STREET,ROADTYPE,Name,roadid
BEAUCHAMP RD,302,Beauchamp Rd,95
BEAUCHAMP RD,302,Beauchamp Rd,97
RAYMOND AV,304,Raymond Av,209
MCCAULEY ST,304,Mccauley St,210
PERRY ST,303,Perry St,224
MCCAULEY ST,304,Mccauley St,225
MCCAULEY ST,304,Mccauley St,226
BEAUCHAMP RD,302,Beauchamp Rd,243
MCPHERSON ST,304,Mcpherson St,244
BEAUCHAMP RD,302,Beauchamp Rd,245
BOTANY RD,302,Botany Rd,247
BEAUCHAMP RD,302,Beauchamp Rd,253
BEAUCHAMP RD,302,Beauchamp Rd,255
MCCAULEY ST,304,Mccauley St,263
KELLY ST,304,Kelly St,282
PERRY ST,303,Perry St,283
PARTANNA AV,304,Partanna Av,285
PARTANNA AV,304,Partanna Av,286
MOORINA AV,304,Moorina Av,287
SHIRLEY L,304,Shirley L,307
JORDANS L,304,Jordans L,308
SHIRLEY CR,304,Shirley Cr,309
MOONA AV,304,Moona Av,310
BUNNERONG RD,302,Bunnerong Rd,311
PERRY ST,303,Perry St,695
BEAUCHAMP RD,302,Beauchamp Rd,696
CROSSOVER,302,Crossover,804
BOTANY RD,302,Botany Rd,805
BOTANY RD,302,Botany Rd,806
BOTANY RD,302,Botany Rd,807
BOTANY RD,302,Botany Rd,808
BUNNERONG RD,302,Bunnerong Rd,809
SHIRLEY CR,304,Shirley Cr,1245
JORDANS L,304,Jordans L,1325
BUNNERONG RD,302,Bunnerong Rd,1392
BUNNERONG RD,302,Bunnerong Rd,1393
PARTANNA AV,304,Partanna Av,1425
BOTANY RD,302,Botany Rd,1497
BOTANY RD,302,Botany Rd,1498
BUNNERONG RD,302,Bunnerong Rd,1499
BOTANY RD,302,Botany Rd,1561
BOTANY RD,302,Botany Rd,1656
BUNNERONG RD,302,Bunnerong Rd,1657
BUNNERONG RD,302,Bunnerong Rd,1658
BUNNERONG RD EXIT L,302,Bunnerong Rd Exit L,1673
BOTANY RD,302,Botany Rd,1674
BOTANY RD,302,Botany Rd,1681
BUNNERONG RD,302,Bunnerong Rd,1767
BUNNERONG RD,302,Bunnerong Rd,1768
BUNNERONG RD,302,Bunnerong Rd,1774
MOORINA AV,304,Moorina Av,1775
SHIRLEY CR,304,Shirley Cr,1776
PARTANNA AV,304,Partanna Av,1777
SHIRLEY CR,304,Shirley Cr,1778
HAROLD ST,304,Harold St,1788
JORDANS L,304,Jordans L,1790
BUNNERONG RD,302,Bunnerong Rd,1791
AUSTRALIA AV,304,Australia Av,1792
BUNNERONG RD,302,Bunnerong Rd,1794
BUNNERONG RD,302,Bunnerong Rd,1795
BUNNERONG RD,302,Bunnerong Rd,1799
MCCAULEY ST,304,Mccauley St,1842
BUMBORAH POINT RD,303,Bumborah Point Rd,1843
BOTANY RD,302,Botany Rd,1919
BEAUCHAMP RD,302,Beauchamp Rd,1921
BEAUCHAMP RD,302,Beauchamp Rd,1922
JORDANS L,304,Jordans L,1971
MURRABIN AV,304,Murrabin Av,1975
AUSTRALIA AV,304,Australia Av,2049
SHIRLEY CR,304,Shirley Cr,2052
