STREET,ROADTYPE,Name,roadid
WILSON ST,304,Wilson St,488
MARINE PDE,304,Marine Pde,489
MARINE PDE,304,Marine Pde,563
UNDINE AV,304,Undine Av,564
MAROUBRA RD,303,Maroubra Rd,1022
DUNCAN ST,304,Duncan St,1059
BOND ST,304,Bond St,1060
MAROUBRA RD,303,Maroubra Rd,1061
MARINE PDE,303,Marine Pde,1067
MARINE PDE,303,Marine Pde,1068
THE CAUSEWAY,304,The Causeway,1092
MAROUBRA RD,303,Maroubra Rd,1095
BOND ST,304,Bond St,1096
MAROUBRA RD,303,Maroubra Rd,1097
RON FILBEE PL,304,Ron Filbee Pl,1115
MARINE PDE,304,Marine Pde,1252
MALABAR RD,302,Malabar Rd,1258
MALABAR RD,302,Malabar Rd,1259
MALABAR RD,302,Malabar Rd,1260
FIRST AV,304,First Av,1261
MALABAR RD,302,Malabar Rd,1262
SECOND AV,304,Second Av,1263
SEASIDE PDE,304,Seaside Pde,1465
MALABAR RD,302,Malabar Rd,1486
MALABAR RD,302,Malabar Rd,1487
LURLINE ST,304,Lurline St,1488
TORRINGTON RD,303,Torrington Rd,1489
DUNCAN ST,304,Duncan St,1490
TORRINGTON RD,303,Torrington Rd,1491
BANKS ST,304,Banks St,1492
INMAN ST,304,Inman St,1493
BOOMERANG ST,304,Boomerang St,1501
TORRINGTON RD,303,Torrington Rd,1502
THE CAUSEWAY,304,The Causeway,1503
THE CAUSEWAY,304,The Causeway,1504
SACKVILLE ST,304,Sackville St,1505
DUNCAN ST,304,Duncan St,1506
DUNCAN ST,304,Duncan St,1507
FIRST AV,304,First Av,1508
THE CAUSEWAY,304,The Causeway,1509
LIGURIA ST,304,Liguria St,1514
MALABAR RD,302,Malabar Rd,1515
MALABAR RD,302,Malabar Rd,1519
BANKS ST,304,Banks St,1543
TORRINGTON RD,303,Torrington Rd,1544
WILSON ST,304,Wilson St,1545
TORRINGTON RD,303,Torrington Rd,1546
LURLINE ST,304,Lurline St,1547
MALABAR RD,302,Malabar Rd,1554
MALABAR RD,302,Malabar Rd,1555
TORRINGTON RD,303,Torrington Rd,1556
MALABAR RD,302,Malabar Rd,1564
MERMAID AV,304,Mermaid Av,1565
MARINE PDE,304,Marine Pde,1567
INMAN ST,304,Inman St,1568
LIGURIA ST,304,Liguria St,1571
WATERSIDE AV,304,Waterside Av,1572
LURLINE ST,304,Lurline St,1573
DUNCAN ST,304,Duncan St,1581
THE CORSO,304,The Corso,1582
SACKVILLE ST,304,Sackville St,1587
BELLEVUE ST,304,Bellevue St,1588
SACKVILLE ST,304,Sackville St,1589
BONA VISTA AV,304,Bona Vista Av,1590
SACKVILLE ST,304,Sackville St,1591
BEAUMOND AV,304,Beaumond Av,1592
BOND ST,304,Bond St,1593
BONA VISTA AV,304,Bona Vista Av,1627
MARINE PDE,303,Marine Pde,1628
BOND ST,304,Bond St,1629
MAROUBRA RD,303,Maroubra Rd,1984
MARINE PDE,303,Marine Pde,1985
ROUNDABOUT,303,Roundabout,1987
