TZ id,1 bed,2 bed,3 bed,4 bed
270,425,487,258,75
276,198,285,99,36
277,119,112,27,10
278,393,274,89,36
279,51,82,9,3
283,37,35,2,0
284,81,95,62,49
285,255,425,164,53
287,84,116,57,35
288,22,51,28,9
292,155,262,251,133
294,127,223,217,179
507,52,68,69,81
508,287,398,296,259
509,739,755,391,157
510,176,198,109,53
511,378,346,205,113
512,493,542,261,181
513,296,325,233,153
514,151,131,64,28
515,604,592,229,125
516,696,670,317,148
517,326,386,232,158
518,441,559,311,206
519,145,172,113,89
520,55,62,58,64
521,472,533,255,104
522,225,344,193,86
523,418,517,268,134
524,89,122,151,166
525,417,529,435,242
526,477,675,444,202
527,65,61,60,65
528,510,612,392,244
529,667,619,285,126
530,179,279,246,149
531,912,862,350,143
532,334,296,342,258
533,64,79,98,99
534,51,74,79,65
535,122,153,149,122
536,652,466,280,279
537,351,557,333,169
538,153,290,225,181
539,144,134,163,161
540,359,430,413,310
541,213,262,260,171
542,174,228,232,148
543,401,400,252,203
544,188,156,124,97
545,560,418,244,114
546,343,402,179,92
547,358,372,223,127
548,302,183,184,194
549,118,146,151,140
550,155,185,157,158
551,144,228,252,266
552,52,87,90,91
553,37,57,46,57
554,281,374,385,380
555,380,274,255,192
556,31,44,55,51
557,214,142,147,144
558,53,86,102,105
