TZ id,1 bed,2 bed,3 bed,4 bed
270,403,461,244,71
276,187,270,94,34
277,113,106,25,10
278,372,259,84,34
279,48,78,9,3
283,35,33,2,0
284,77,90,59,46
285,242,403,155,50
287,80,109,54,33
288,21,48,26,9
292,147,248,237,126
294,120,211,206,170
507,49,65,66,77
508,271,376,280,245
509,699,715,370,149
510,166,187,103,50
511,358,327,194,107
512,467,513,247,172
513,280,307,221,144
514,143,124,60,26
515,572,561,217,118
516,659,634,300,140
517,308,365,220,150
518,418,529,294,195
519,137,162,107,84
520,52,59,55,60
521,446,504,242,98
522,213,326,183,81
523,396,489,254,127
524,84,116,143,158
525,395,501,411,229
526,451,639,420,191
527,61,58,57,61
528,482,580,371,231
529,631,586,270,119
530,170,264,233,141
531,863,816,331,136
532,316,280,324,244
533,60,74,93,94
534,48,70,74,61
535,116,144,141,116
536,617,441,265,264
537,333,527,315,160
538,144,275,213,172
539,137,127,154,152
540,340,407,391,293
541,201,248,246,162
542,165,216,220,140
543,380,378,238,193
544,178,148,117,92
545,531,396,231,108
546,325,381,170,88
547,339,352,211,120
548,286,173,174,184
549,112,138,143,132
550,147,175,149,150
551,137,216,238,252
552,49,82,85,86
553,35,54,44,54
554,266,354,364,360
555,360,259,242,182
556,30,42,53,48
557,202,135,139,137
558,50,81,96,100
